,,,accuracy,precision,recall,fscore
Arabic-all,no_balanced,LOGISTIC REGRESION,0.9676966292134832,0.6911524312273389,0.8063001949581944,0.7282976802778509
Arabic-all,no_balanced,DECISION TREE,0.9624459809853068,0.7258586032892305,0.4663581803754021,0.5460023399935429
Arabic-all,no_balanced,KNN 3,0.9716508210890232,0.7278451923992841,0.7651513451444995,0.7340196226835253
Arabic-all,no_balanced,KNN 5,0.9741356957649092,0.7429060651062424,0.8112219641936006,0.7646889456382389
Arabic-all,no_balanced,KNN 7,0.9751512532411409,0.7629389952524583,0.8086061456714372,0.7739048165579469
Arabic-all,no_balanced,KNN 9,0.9696629213483146,0.6676055199341759,0.884206402936838,0.7595837191108503
Arabic-all,no_balanced,MOST FREQUEST CLASS,0.9454840103716509,0.0,0.0,0.0
Arabic-all,no_balanced,RANDOM CLASS,0.49995678478824546,0.05446566647022229,0.4968899512646653,0.09811503786898104
Arabic-all,balanced,LOGISTIC REGRESION,0.9453009021354346,0.933903318660547,0.958699542009043,0.9459944710578775
Arabic-all,balanced,DECISION TREE,0.9061093981957292,0.983903107427874,0.8247921324403219,0.8964060449106672
Arabic-all,balanced,KNN 3,0.9649765901564462,0.9732360898871267,0.9565498934125755,0.9646974851446419
Arabic-all,balanced,KNN 5,0.9794450154162385,0.9695074150635883,0.9902081130105271,0.9797364721735118
Arabic-all,balanced,KNN 7,0.9754482128582849,0.962758057938278,0.9894255005892039,0.9758930422511902
Arabic-all,balanced,KNN 9,0.9755738266529634,0.960494161157891,0.9920061833831308,0.97598885600292
Arabic-all,balanced,MOST FREQUEST CLASS,0.49721365764531233,0.14951467397510562,0.3,0.19956788777230722
Arabic-all,balanced,RANDOM CLASS,0.5006394884092725,0.4995483036088926,0.5043262639074677,0.5019031740183775
Chinese-all,no_balanced,LOGISTIC REGRESION,0.977984429065744,0.7786537438158437,0.8539889449514149,0.8069927887552206
Chinese-all,no_balanced,DECISION TREE,0.9786980968858131,0.8001389483589906,0.8029828653785479,0.7984433980519456
Chinese-all,no_balanced,KNN 3,0.9826340830449827,0.8178624822500579,0.8895178113872271,0.8490995661315821
Chinese-all,no_balanced,KNN 5,0.9834558823529411,0.8261091303824137,0.8826034171591726,0.8528132229040424
Chinese-all,no_balanced,KNN 7,0.9841479238754326,0.8310352733317451,0.8857560069375182,0.855179577458251
Chinese-all,no_balanced,KNN 9,0.9830666089965397,0.8039616559847529,0.9010210506599396,0.8488725639044146
Chinese-all,no_balanced,MOST FREQUEST CLASS,0.9469074394463668,0.0,0.0,0.0
Chinese-all,no_balanced,RANDOM CLASS,0.5010380622837369,0.05291882981928342,0.5018226515290981,0.09570059876274267
Chinese-all,balanced,LOGISTIC REGRESION,0.9627242600845619,0.9522828601568252,0.9746311397235473,0.9632064933263772
Chinese-all,balanced,DECISION TREE,0.9402811107302023,0.9876681292898752,0.891302383247932,0.9364455987065602
Chinese-all,balanced,KNN 3,0.9794652039766885,0.9791905331957098,0.9798561870944253,0.979460870260932
Chinese-all,balanced,KNN 5,0.97829962290024,0.9730833666644838,0.9835870603884891,0.9782860940586134
Chinese-all,balanced,KNN 7,0.9822763112787112,0.9697314152925175,0.9956760861143918,0.982526887059677
Chinese-all,balanced,KNN 9,0.9792023768712148,0.9672885853654083,0.9922470200957649,0.9795860588714695
Chinese-all,balanced,MOST FREQUEST CLASS,0.4954062392869386,0.29745171980345103,0.6,0.39772631086698296
Chinese-all,balanced,RANDOM CLASS,0.49866300994172097,0.49748008986531367,0.49774567843021256,0.49759749267553766
Czech-all,no_balanced,LOGISTIC REGRESION,0.9698472326571499,0.7794205599399892,0.7379324581353405,0.7503406515139557
Czech-all,no_balanced,DECISION TREE,0.9698973203105433,0.7980454417527829,0.7097812966562248,0.7423952042524917
Czech-all,no_balanced,KNN 3,0.9753318307037315,0.7798505007102228,0.8372039232567727,0.8063599615751441
Czech-all,no_balanced,KNN 5,0.9761833208114201,0.7882284449695931,0.8554888616044231,0.8196375174264704
Czech-all,no_balanced,KNN 7,0.9750563486100677,0.7706120340761085,0.8565893359956649,0.8098623016518719
Czech-all,no_balanced,KNN 9,0.9752566992236413,0.777109256372119,0.8454816476579454,0.8086753433799745
Czech-all,no_balanced,MOST FREQUEST CLASS,0.9373403456048083,0.0,0.0,0.0
Czech-all,no_balanced,RANDOM CLASS,0.5012021036814425,0.0642510708517684,0.5107394652326802,0.11409963269571603
Czech-all,balanced,LOGISTIC REGRESION,0.951602564102564,0.936134770834037,0.9691510899703074,0.9522459130968001
Czech-all,balanced,DECISION TREE,0.9221955128205129,0.9842621936943058,0.8582354341999535,0.9166085671286698
Czech-all,balanced,KNN 3,0.9725560897435896,0.9727522240977805,0.9724668472169681,0.9725621826247751
Czech-all,balanced,KNN 5,0.9772435897435898,0.9677519347201382,0.987366670649706,0.9774427827917729
Czech-all,balanced,KNN 7,0.9803151709401711,0.9658341009399253,0.9958623369074784,0.9806086301682091
Czech-all,balanced,KNN 9,0.9781517094017094,0.9618871024582191,0.995762677656719,0.9785187970901532
Czech-all,balanced,MOST FREQUEST CLASS,0.49469818376068375,0.29594017094017094,0.6,0.39637114034319043
Czech-all,balanced,RANDOM CLASS,0.5032852564102563,0.5016632841199329,0.5003530646147827,0.5009942868564771
English-all,no_balanced,LOGISTIC REGRESION,0.9815907633098139,0.8003917182437157,0.8882400703200254,0.8394238839849439
English-all,no_balanced,DECISION TREE,0.9741287149882403,0.8615975675597456,0.6118730233859904,0.6893148818254824
English-all,no_balanced,KNN 3,0.985524909129784,0.8477609851817455,0.8941079577059796,0.8680731756953831
English-all,no_balanced,KNN 5,0.9851186658114177,0.8171486573242255,0.9298259320227423,0.8687941780987352
