,,,accuracy,precision,recall,fscore
English-all,no_balanced,LOGISTIC REGRESION,0.9485567671584348,0.5308685571430052,0.3329449972020401,0.3896126727899274
English-all,no_balanced,DECISION TREE,0.9283301261492409,0.3338102695653618,0.34450756438310204,0.3382256068161712
English-all,no_balanced,KNN 3,0.9381227282446012,0.4145748730251884,0.3632016855311789,0.379523775214771
English-all,no_balanced,KNN 5,0.944729527474877,0.47134221696272754,0.3245199028184982,0.38217847085565104
English-all,no_balanced,KNN 7,0.9444729527474877,0.49476861875210476,0.2751349461351504,0.35088106524298324
English-all,no_balanced,KNN 9,0.9468462689758393,0.511032750352724,0.2855963410820058,0.3641559395696451
English-all,no_balanced,MOST FREQUEST CLASS,0.946889031430404,0.0,0.0,0.0
English-all,no_balanced,RANDOM CLASS,0.49751977763523625,0.05368798353928207,0.5089526955532367,0.0971174853293354
English-all,balanced,LOGISTIC REGRESION,0.8817976513098464,0.8722356328044224,0.8949077380902632,0.8833779537390406
English-all,balanced,DECISION TREE,0.7375677506775069,0.9160936750287627,0.5169667588334622,0.6492353812523086
English-all,balanced,KNN 3,0.8592479674796747,0.9159380439183271,0.7910224298418395,0.8472043735194656
English-all,balanced,KNN 5,0.8757226738934056,0.8965187882400871,0.8463439379238948,0.8680457415117415
English-all,balanced,KNN 7,0.8875677506775068,0.8876096773351063,0.8869372013085194,0.885862764508434
English-all,balanced,KNN 9,0.8849480578139115,0.8774265411574407,0.8932023405695299,0.8837345185529525
English-all,balanced,MOST FREQUEST CLASS,0.4953929539295393,0.34649954832881663,0.7,0.4635387954916889
English-all,balanced,RANDOM CLASS,0.4993563685636856,0.4971040741039512,0.5012606513944955,0.4991571731526793
