,vertex_degree,vertex_distance,centre,centroid,vertex_distance_std,class
0,0,3.533333333333333,0,0,1.284090685617215,0
1,1,3.2666666666666666,0,0,1.412641340027806,0
2,0,4.933333333333334,0,0,1.948218559493661,0
3,0,4.933333333333334,0,0,1.948218559493661,0
4,0,4.933333333333334,0,0,1.948218559493661,0
5,3,4.0,0,0,1.8073922282301278,0
6,0,3.533333333333333,0,0,1.284090685617215,0
7,4,2.6,1,0,1.1430952132988164,0
8,0,4.266666666666667,0,0,1.6316317667360556,0
9,0,4.266666666666667,0,0,1.6316317667360556,0
10,0,4.266666666666667,0,0,1.6316317667360556,0
11,3,3.3333333333333335,0,0,1.4907119849998598,0
12,0,4.0,0,0,1.4605934866804429,0
13,0,4.0,0,0,1.4605934866804429,0
14,3,3.066666666666667,0,0,1.3148721948877347,0
15,0,4.866666666666666,0,0,1.7074997966487597,0
16,1,3.933333333333333,0,0,1.5477582354991866,0
17,4,2.4,1,1,0.9521904571390467,1
18,0,3.3333333333333335,0,0,1.1055415967851334,0
19,0,4.266666666666667,0,0,1.787611690372256,0
20,0,4.266666666666667,0,0,1.787611690372256,0
21,4,3.3333333333333335,0,0,1.6599866130651644,0
22,0,4.266666666666667,0,0,1.787611690372256,0
23,0,4.266666666666667,0,0,1.787611690372256,0
24,3,2.6666666666666665,0,0,1.2736648783028535,0
25,0,4.333333333333333,0,0,1.7384539747207062,0
26,0,4.333333333333333,0,0,1.7384539747207062,0
27,0,4.333333333333333,0,0,1.7384539747207062,0
28,3,3.4,0,0,1.6041612554021285,0
29,0,3.6,0,0,1.4047538337136984,0
30,0,3.125,0,0,1.3635890143294642,0
31,2,2.25,1,1,1.14564392373896,0
32,0,3.125,0,0,1.2686114456365274,0
33,2,2.25,1,1,1.0307764064044151,0
34,0,4.125,0,0,1.899835519196333,0
35,1,3.25,0,0,1.6770509831248424,0
36,2,2.5,0,0,1.3693063937629153,0
37,0,4.0,0,0,1.9685019685029528,0
38,0,4.0,0,0,1.9685019685029528,0
39,2,3.125,0,0,1.7633419974582356,0
40,0,3.375,0,0,1.79843682124227,0
41,0,3.375,0,0,1.79843682124227,0
