n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
35	5.48571	2.74286	21.6571	10.5714	192	96	758	370	499	0.588235	0.0549242	99	2.91176	30	36	30	36	10	12	0	10.517	166.333	820.178	-5.80798	114	408	142.167	184.095	2115.2	-6.39251	68	68	68	442	270	3.35294	3	1.82353	1	6	2.70588	1	4	2.20588	1	7	3.35294	1	3	1.01078	0.2	1	0.608964	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
21	4.85714	2.47619	15.3333	8.38095	102	52	322	176	159	0.55	0.0701754	74	3.7	6	22	5	22	10	2	0	3.54707	53	166.422	-4.10838	45	146.667	86.3333	87.0476	407.489	-5.03641	32	32	32	198	173	2.25	2	1.5	1	4	1.95	1	3	1.75	1	4	2.25	1	3	1.07083	0.25	1	0.729167	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
30	5.73333	3.03333	24.1333	12.3667	172	91	724	371	349	0.551724	0.0767196	82	2.82759	1	31	19	31	10	5	0	5.77812	116.333	502.056	-5.19192	69	299.667	117.5	155.922	1349.53	-6.27904	54	54	54	391	220	2.37931	2	1.51724	1	5	2.06897	1	4	1.75862	1	5	2.37931	1	2	1.00977	0.2	1	0.722414	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
14	4.85714	2.21429	16.4286	6.5	68	31	230	91	57	0.615385	0.136364	51	3.92308	7	9	7	15	7	0	0	1.80978	19	41.5889	-2.94622	20	65	48.3333	45.619	113	-4.23324	20	20	20	91	91	1.53846	1	1	1	3	1.46154	1	2	1.07692	1	3	1.53846	1	2	0.871795	0.333333	1	0.75641	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
9	4.66667	2.44444	17.1111	8.22222	42	22	154	74	15	0.875	0.285714	15	1.875	0	5	5	10	5	0	0	0	5	7.23333	-1.85909	16	26.6667	19.1667	22	25.8889	-2.09639	12	12	12	36	30	2	2	1.25	1	2	1.375	1	3	1.75	1	3	2	1	3	1.4375	0.5	1	0.6875	0.333333	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
15	5.2	3.2	20.6667	15.7333	78	48	310	236	66	0.428571	0.153846	27	1.92857	1	16	12	16	6	2	0	1.01483	22	49.6444	-3.12239	42	74.6667	46.8333	50.2667	145.956	-2.70392	24	24	24	95	85	3	3	1.57143	1	5	2.64286	1	3	1.64286	1	5	3	1	1.5	0.710714	0.2	1	0.585714	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
11	4.36364	2	12.7273	4.72727	48	22	140	52	31	0.6	0.138889	26	2.6	0	2	2	12	5	1	0	0.610526	10.3333	17.5	-2.47014	31	40	29	29.1515	49.0667	-1.28484	15	15	15	52	52	3.1	3	1.6	1	3	1.8	1	4	2.8	1	5	3.1	1	4	1.78333	0.5	1	0.551667	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
32	5.1875	2.53125	18.0625	8.46875	166	81	578	271	413	0.709677	0.0505747	116	3.74194	11	16	16	33	11	9	0	4.55444	137.667	625.411	-5.50486	67	341	145.833	164.344	1556.87	-6.94424	56	56	56	388	290	2.16129	2	1.3871	1	3	1.58065	1	4	1.90323	1	4	2.16129	1	4	1.34946	0.333333	1	0.712366	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5.3	2.75	19	8.75	106	55	380	175	137	0.578947	0.104575	56	2.94737	6	9	9	21	7	2	0	4.43177	45.6667	134.444	-3.93847	40	133	76.5	80.9167	366.333	-4.85898	32	32	32	180	151	2.10526	2	1.15789	1	3	1.47368	1	3	1.63158	1	4	2.10526	1	3	1.30702	0.333333	1	0.622807	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
11	4.54545	2.72727	15.4545	11.8182	50	30	170	130	30	0.5	0.166667	19	1.9	3	7	7	12	7	0	0	1.12767	10	17.6667	-2.37915	29	40	27.8333	30.3636	50	-1.55563	14	14	14	55	47	2.9	2	1.3	1	5	2.8	1	2	1.3	1	5	2.9	1	1	0.588333	0.25	1	0.578333	0.25	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
