n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
31	5.80645	3.09677	23.4194	11.4194	180	96	726	354	375	0.366667	0.0763547	79	2.63333	15	30	15	32	9	8	0	12.5582	125	560.044	-5.282	89	320	117.5	158.022	1504	-5.95646	59	59	59	388	216	2.96667	3	1.7	1	4	2.53333	1	4	2	1	5	2.96667	1	3	0.941667	0.25	1	0.612222	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5.3	2.95	19.3	11.15	106	59	386	223	137	0.105263	0.104575	55	2.89474	10	12	10	21	7	3	0	9.71467	45.6667	135.544	-3.92246	54	133	79	81.5	366.333	-4.12752	34	34	34	171	156	2.84211	3	1.63158	1	5	2.47368	1	3	1.68421	1	6	2.84211	1	1.5	0.764912	0.2	1	0.660526	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
37	5.94595	3.2973	24.973	13.6216	220	122	924	504	556	0.333333	0.0655462	103	2.86111	21	38	21	38	10	8	0	32.4321	185.333	968.478	-5.95537	156	456	175.833	218.775	2627.07	-5.8531	70	70	70	564	354	4.33333	5	2.30556	1	9	3.69444	1	5	2.41667	1	11	4.33333	1	1.5	0.720095	0.2	1	0.582225	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
28	5.78571	3.10714	24	12.1071	162	87	672	339	297	0.296296	0.0861538	76	2.81481	17	27	17	29	9	4	0	25.9566	99	399.233	-4.95475	102	261	111.833	140.274	1096.2	-4.80233	50	50	50	341	215	3.77778	4	1.85185	1	6	3.18519	1	4	1.92593	1	8	3.77778	1	2	0.67716	0.2	1	0.532275	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
12	4.66667	2.25	14.8333	5.91667	56	27	178	71	38	0.454545	0.155556	23	2.09091	5	13	5	9	6	0	0	2.04418	12.6667	24.4	-2.56429	20	47.6667	27.3333	35.1667	67.3111	-3.3722	16	16	16	66	42	1.81818	2	1.18182	1	3	1.54545	1	2	1.36364	1	3	1.81818	1	2	1.0303	0.333333	1	0.727273	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
8	3.75	1.875	9.25	4.625	30	15	74	37	13	0.285714	0.133333	12	1.71429	3	5	3	5	5	0	0	0.571429	4.33333	5.42222	-1.86094	11	21	15.1667	16.9583	15.8	-2.51577	9	9	9	28	24	1.57143	1	1	1	2	1.42857	1	2	1.14286	1	2	1.57143	1	2	0.928571	0.5	1	0.714286	0.5	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
7	4.85714	3.71429	19.7143	18	34	26	138	126	4	0	0.6	7	1.16667	1	6	6	8	3	0	0	0	1.33333	1.55556	-1.06904	16	16	14.5	14.8571	10.9333	0	10	10	10	21	21	2.66667	1	1	1	5	2.66667	1	1	1	1	5	2.66667	1	1	0.547222	0.2	1	0.547222	0.2	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0
34	5.82353	3.20588	23.1176	12.2647	198	109	786	417	462	0.30303	0.0685484	84	2.54545	11	20	11	35	7	12	0	15.2801	154	739.589	-5.66273	93	385	144.833	178.931	2002	-6.52606	71	71	71	399	273	2.81818	2	1.42424	1	5	2.12121	1	3	1.78788	1	6	2.81818	1	3	1.06263	0.333333	1	0.571717	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5.4	2.85	21.1	10.55	108	57	422	211	136	0.263158	0.111111	62	3.26316	18	19	18	21	9	1	0	3.98781	45.3333	135.511	-3.89431	59	133	77.8333	82.65	370.067	-3.84673	31	31	31	184	152	3.10526	3	2.10526	1	6	2.84211	1	5	2.26316	1	6	3.10526	1	1.66667	0.863158	0.333333	1	0.755263	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
6	4	2.83333	12.6667	10.8333	24	17	76	65	3	0	0.5	6	1.2	2	5	5	7	3	0	0	0	1	1	-1	12	11.6667	10.5	10.8333	5.75556	0.138943	7	7	7	15	15	2.4	2	1.2	1	4	2.4	1	2	1.2	1	4	2.4	1	1	0.616667	0.25	1	0.616667	0.25	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0
