n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
35	6.05714	3.37143	27.8286	15.5429	212	118	974	544	489	0.382353	0.0738636	87	2.55882	10	36	10	36	8	14	0	13.3565	163	795.122	-5.78057	106	408	154.5	186.057	2239.2	-6.38205	75	75	75	410	297	3.11765	3	1.58824	1	4	2.23529	1	4	2.14706	1	5	3.11765	1	4	1.19853	0.25	1	0.562745	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
16	4.875	2.5625	15.375	7.6875	78	41	246	123	81	0.4	0.10989	49	3.26667	3	4	3	4	7	0	0	2.35002	27	66.4222	-3.31289	37	85	60	56.9167	173.4	-3.64516	23	23	23	120	120	2.46667	2	1.6	1	4	2.26667	1	3	1.73333	1	4	2.46667	1	2	0.894444	0.25	1	0.716667	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
28	5.64286	3.10714	22.5	12.5357	158	87	630	351	299	0.407407	0.08	73	2.7037	14	29	14	29	8	6	0	9.07281	99.6667	401.889	-4.97161	65	261	115.333	137.571	1080.73	-5.96207	51	51	51	328	224	2.40741	2	1.44444	1	4	2.07407	1	2	1.55556	1	5	2.40741	1	2	0.891975	0.25	1	0.666049	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
21	4.66667	2	13.9048	4.95238	98	42	292	104	161	0.45	0.0584795	64	3.2	13	22	1	22	10	3	0	5.16418	53.6667	166.511	-4.15894	48	146.667	64	85.1429	399.178	-4.93841	30	30	30	193	109	2.4	3	1.45	1	4	1.85	1	4	1.75	1	5	2.4	1	3	1.08333	0.333333	1	0.705	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
8	4.75	2.625	18.25	9.125	38	21	146	73	9	0.285714	0.4	12	1.71429	2	9	6	9	4	0	0	0	3	4.13333	-1.47561	13	21	15.8333	18.375	17.4	-1.91785	11	11	11	28	23	1.85714	1	1	1	4	1.85714	1	1	1	1	4	1.85714	1	1	0.72619	0.25	1	0.72619	0.25	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
11	4.36364	2	12.7273	4.72727	48	22	140	52	31	0.2	0.138889	24	2.4	5	12	5	12	6	0	0	4.52797	10.3333	18.8333	-2.3811	22	40	24.3333	30.303	49.0667	-2.56968	14	14	14	55	37	2.2	2	1.2	1	4	1.9	1	2	1.3	1	4	2.2	1	2	0.875	0.25	1	0.675	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
6	3.33333	1.5	7.66667	2.83333	20	9	46	17	5	0.4	0.166667	9	1.8	3	7	3	7	4	0	0	0	1.66667	1.58889	-1.32221	7	11.6667	9.66667	10.2222	5.44444	-2	6	6	6	15	15	1.4	1	1	1	2	1.4	1	1	1	1	2	1.4	1	1	0.8	0.5	1	0.8	0.5	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
28	4.92857	2.39286	15.4286	7.60714	138	67	432	213	309	0.555556	0.0492308	86	3.18519	13	15	13	29	9	9	0	8.04606	103	414.289	-5.06041	64	261	109.167	128.155	1003.4	-6.21912	50	50	50	282	202	2.37037	2	1.44444	1	4	1.81481	1	3	1.92593	1	5	2.37037	1	3	1.25	0.333333	1	0.687654	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
16	5.625	3.1875	23.25	12.1875	90	51	372	195	75	0.333333	0.175824	44	2.93333	9	17	9	17	6	0	1	5.25759	25	61.4222	-3.06231	33	85	60.8333	58.7292	187	-3.80262	26	26	26	120	120	2.2	2	1.13333	1	5	2.2	1	2	1.13333	1	5	2.2	1	1	0.652222	0.2	1	0.652222	0.2	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
5	4	3.2	13.6	12.8	20	16	68	64	0	0.25	1	4	1	3	6	3	6	2	0	0	0	0	0	-nan	7	8	8	8	2.8	-0.597614	6	6	6	10	10	1.75	1	1	1	3	1.75	1	1	1	1	3	1.75	1	1	0.708333	0.333333	1	0.708333	0.333333	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0
