n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
21	5.33333	2.95238	19.619	11.2381	112	62	412	236	154	0.25	0.0994152	44	2.2	13	22	13	22	8	2	0	4.81238	51.3333	156.222	-4.10703	48	146.667	72.6667	86.9841	428.267	-4.76775	34	34	34	197	136	2.4	2	1.4	1	4	2.2	1	2	1.45	1	4	2.4	1	2	0.791667	0.25	1	0.675	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
12	4	1.75	9.83333	3.91667	48	21	118	47	42	0.363636	0.0666667	31	2.81818	0	2	2	13	7	1	0	1.47312	14	25.8222	-2.75506	24	47.6667	31.6667	33.3333	62.6889	-2.98911	15	15	15	64	56	2.18182	3	1.63636	1	3	2	1	3	1.72727	1	3	2.18182	1	2	0.939394	0.5	1	0.772727	0.5	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
19	5.05263	2.52632	18.6316	9.15789	96	48	354	174	123	0.388889	0.0955882	45	2.5	0	8	12	20	9	2	0	3.86098	41	115.478	-3.81535	40	120	57.8333	73.3333	304	-4.58831	29	29	29	157	101	2.22222	2	1.44444	1	4	2	1	2	1.55556	1	4	2.22222	1	2	0.912037	0.25	1	0.708333	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
19	4.52632	2.10526	12.9474	6	86	40	246	114	128	0.444444	0.0588235	54	3	18	20	1	20	10	2	0	3.48474	42.6667	119.722	-3.89943	44	120	60.6667	73.1579	287.333	-4.48354	26	26	26	163	109	2.44444	3	1.66667	1	3	1.88889	1	4	2.05556	1	4	2.44444	1	3	1.18519	0.5	1	0.736111	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
6	3.33333	1.5	7.66667	2.83333	20	9	46	17	5	0.2	0.166667	8	1.6	2	7	2	5	4	0	0	0	1.66667	1.68889	-1.28247	8	11.6667	8.83333	10.2778	5.44444	-1.57143	6	6	6	15	12	1.6	1	1	1	3	1.6	1	1	1	1	3	1.6	1	1	0.766667	0.333333	1	0.766667	0.333333	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
13	5.38462	3.23077	20.7692	12	70	42	270	156	43	0.25	0.218182	21	1.75	2	12	2	14	5	0	0	5.14065	14.3333	29.4556	-2.64097	36	56	35.5	41.5385	93.8	-2.06504	20	20	20	78	60	3	2	1.33333	1	5	2.58333	1	2	1.41667	1	5	3	1	2	0.718056	0.2	1	0.529167	0.2	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
7	3.71429	2	9.42857	5.14286	26	14	66	36	8	0.333333	0.2	10	1.66667	1	8	1	8	4	0	0	0	2.66667	3	-1.5396	11	16	13	13.619	9.86667	-1.59179	8	8	8	21	21	1.83333	2	1.16667	1	3	1.66667	1	2	1.33333	1	3	1.83333	1	2	0.972222	0.333333	1	0.722222	0.333333	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
26	5.30769	2.80769	19	10.1923	138	73	494	265	256	0.6	0.0724638	88	3.52	11	27	12	27	8	7	0	12.5243	85.3333	328.444	-4.70856	76	225	115.167	118.474	830.4	-5.17062	46	46	46	251	227	3.04	2	1.4	1	3	1.68	1	7	2.4	1	8	3.04	1	3.5	1.50667	0.333333	1	0.586762	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
15	4.53333	2.13333	13.0667	5.33333	68	32	196	80	71	0.428571	0.0897436	39	2.78571	11	13	11	16	7	2	0	0.838496	23.6667	54.0667	-3.21864	31	74.6667	46.1667	48.2222	136.178	-3.74194	22	22	22	97	86	2.21429	3	1.71429	1	3	2	1	3	1.85714	1	4	2.21429	1	2	1	0.333333	1	0.815476	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
5	4	3.2	13.6	12.8	20	16	68	64	0	0	1	4	1	4	6	4	6	2	0	0	0	0	0	-nan	10	8	8	8	2.8	1.19523	6	6	6	10	10	2.5	1	1	1	4	2.5	1	1	1	1	4	2.5	1	1	0.520833	0.25	1	0.520833	0.25	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0
14	4.71429	2.5	14.7143	7.78571	66	35	206	109	58	0.384615	0.121212	31	2.38462	0	15	0	6	6	1	0	2.62644	19.3333	40.9889	-3.01977	34	65	42.3333	44.2857	111.333	-2.93798	20	20	20	88	79	2.61538	3	1.61538	1	4	2	1	3	1.92308	1	5	2.61538	1	3	1.16026	0.5	1	0.655128	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
13	5.07692	3.07692	18.4615	12.4615	66	40	240	162	45	0.333333	0.181818	24	2	7	14	7	14	6	0	0	2.76752	15	30.6222	-2.71065	23	56	38.6667	40.8205	91	-3.45934	19	19	19	78	71	1.91667	2	1.08333	1	3	1.75	1	2	1.16667	1	3	1.91667	1	2	0.805556	0.333333	1	0.652778	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
14	3.85714	1.5	8.71429	3.07143	54	21	122	43	64	0.230769	0.030303	33	2.53846	9	15	9	15	8	3	0	1.42071	21.3333	44.9667	-3.18136	28	65	34	40.7619	101.333	-3.67558	18	18	18	76	56	2.15385	3	1.76923	1	3	2	1	4	1.92308	1	4	2.15385	1	2	1	0.5	1	0.839744	0.5	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
17	4.58824	2.23529	13.5294	6.58824	78	38	230	112	97	0.4375	0.0761905	42	2.625	14	16	0	18	9	1	0	3.0752	32.3333	83.4	-3.54052	45	96	50.3333	61.0196	203.8	-3.57247	23	23	23	130	88	2.8125	2	1.6875	1	5	2.125	1	4	2.1875	1	5	2.8125	1	4	1.31667	0.4	1	0.665625	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
13	4.61538	2.15385	15.2308	6.46154	60	28	198	84	48	0.416667	0.127273	32	2.66667	4	11	4	14	7	1	0	0.921269	16	31.5222	-2.84978	24	56	37.3333	39.1795	86.8	-3.43471	18	18	19	75	68	2	2	1.33333	1	3	1.66667	1	3	1.58333	1	3	2	1	2	1.02778	0.333333	1	0.736111	0.333333	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
10	5.6	3.5	25.8	15.3	56	35	258	153	17	0.555556	0.392857	16	1.77778	6	11	6	11	4	0	0	0	5.66667	9.06667	-1.88193	18	33	26.5	27.6333	40.3333	-2.36189	16	16	16	45	45	2	2	1.11111	1	4	1.77778	1	2	1.33333	1	4	2	1	2	1.00926	0.25	1	0.675926	0.25	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
8	4	2.125	10.75	5.375	32	17	86	43	12	0.428571	0.2	13	1.85714	0	9	0	9	4	0	0	0.75	4	5.17778	-1.75788	18	21	16.6667	17.3333	16.2	-0.745356	10	10	10	28	28	2.57143	2	1.28571	1	3	1.57143	1	3	2	1	5	2.57143	1	3	1.42857	0.5	1	0.604762	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
25	6	3.6	26.64	17.04	150	90	666	426	225	0.458333	0.110672	52	2.16667	2	13	2	26	7	5	0	6.56001	75	270.967	-4.55621	73	208	99	115.973	787.8	-4.80979	47	47	47	268	189	3.04167	3	1.66667	1	4	2.16667	1	4	2.125	1	5	3.04167	1	4	1.24653	0.333333	1	0.590972	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
