n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
40	5.9	3.225	24.6	13.275	236	129	984	531	662	0.410256	0.0583215	114	2.92308	24	28	24	41	9	13	0	15.5629	220.667	1233.27	-6.2836	113	533	201.5	231.592	3321	-7.28811	81	81	81	572	419	2.89744	3	1.58974	1	4	2.10256	1	4	2.07692	1	5	2.89744	1	3	1.19444	0.25	1	0.595299	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
19	4.84211	2.31579	14.8421	6	92	44	282	114	125	0.388889	0.0808824	54	3	1	20	3	20	8	2	0	6.09428	41.6667	117.944	-3.83663	50	120	64	72.386	297.333	-4.05953	29	29	29	159	120	2.77778	3	1.88889	1	5	2.5	1	3	2	1	5	2.77778	1	2	0.889815	0.333333	1	0.718519	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
41	5.65854	2.97561	21.122	10.4878	232	122	866	430	704	0.425	0.0499325	130	3.25	20	42	20	42	12	10	0	16.9176	234.667	1372.29	-6.33474	120	560	193	249.382	3496.27	-7.44133	77	77	77	667	387	3	2	1.525	1	5	2.65	1	4	1.7	1	6	3	1	3	0.765833	0.25	1	0.581667	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
39	5.69231	2.92308	21.641	9.89744	222	114	844	386	630	0.342105	0.0540541	138	3.63158	23	40	19	40	12	7	0	18.4039	210	1165.49	-6.15128	104	506.667	182.333	243.316	3010.22	-7.33916	70	70	70	666	359	2.73684	3	1.47368	1	5	2.18421	1	3	1.71053	1	7	2.73684	1	3	0.925877	0.333333	1	0.609962	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
13	5.38462	3.07692	22.6154	12.4615	70	40	294	162	43	0.333333	0.218182	23	1.91667	4	7	7	14	5	1	0	2.06596	14.3333	28.5889	-2.6807	24	56	35.5	41.1795	93.8	-3.30406	21	21	21	76	60	2	2	1.08333	1	3	1.58333	1	3	1.41667	1	4	2	1	3	1.06944	0.333333	1	0.638889	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
13	4.61538	2.46154	13.8462	7.38462	60	32	180	96	48	0.25	0.127273	28	2.33333	0	5	0	14	5	2	0	4.63522	16	32.4667	-2.80803	36	56	37.3333	38.359	86.8	-2.14669	20	20	20	70	68	3	2	1.5	1	4	2.33333	1	3	1.91667	1	5	3	1	3	1.0625	0.25	1	0.554167	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
7	3.71429	2	9.42857	5.14286	26	14	66	36	8	0.5	0.2	9	1.5	1	8	1	8	4	0	0	0	2.66667	3	-1.5396	10	16	12.1667	13.619	9.86667	-1.91014	8	8	8	21	18	1.66667	2	1.16667	1	2	1.33333	1	2	1.33333	1	3	1.66667	1	2	1.08333	0.5	1	0.777778	0.5	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
42	6	3.35714	24.6667	13.6905	252	141	1036	575	735	0.463415	0.0576923	135	3.29268	7	43	7	43	10	12	0	19.4446	245	1460.5	-6.41085	117	587.667	206	258.19	3893.89	-7.54261	84	84	84	684	403	2.85366	2	1.58537	1	4	2.14634	1	6	2.09756	1	6	2.85366	1	3	1.15244	0.25	1	0.623171	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
21	5.71429	3.33333	23.619	14.0952	120	70	496	296	150	0.35	0.122807	40	2	6	15	6	22	7	3	0	4.6484	50	153.889	-4.03057	44	146.667	70.3333	86.9206	444.889	-4.86747	37	37	37	186	123	2.2	2	1.35	1	4	1.9	1	3	1.5	1	5	2.2	1	2	0.908333	0.333333	1	0.686667	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
8	4.25	2.625	13	9.125	34	21	104	73	11	0.285714	0.266667	10	1.42857	7	9	7	9	4	0	0	0	3.66667	4.66667	-1.69734	17	21	16.1667	17.625	16.6	-0.981761	10	10	10	28	25	2.42857	2	1.28571	1	4	2.14286	1	2	1.42857	1	4	2.42857	1	2	0.869048	0.25	1	0.607143	0.25	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
