n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
27	5.77778	3.18519	24.3704	13.1852	156	86	658	356	273	0.346154	0.09	60	2.30769	10	16	10	28	7	9	0	12.6415	91	349.578	-4.86709	77	242.667	101	124.247	978.756	-5.29539	54	54	54	266	184	2.96154	2	1.46154	1	5	2.03846	1	4	2.11538	1	6	2.96154	1	4	1.32308	0.333333	1	0.559615	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
18	5	2.72222	16.8889	9.94444	90	49	304	179	108	0.176471	0.1	47	2.76471	1	10	1	10	7	2	0	7.40186	36	97.6444	-3.64316	62	107.667	64.6667	67.7037	255.022	-2.85963	28	28	28	140	125	3.64706	3	1.94118	1	6	2.88235	1	3	2	1	8	3.64706	1	2	0.809804	0.25	1	0.607073	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
29	5.44828	2.75862	20.5517	9.65517	158	80	596	280	327	0.285714	0.0683761	72	2.57143	9	30	9	30	8	9	0	13.4277	109	457.767	-5.09453	94	280	100.333	137.425	1181	-5.41238	54	54	54	322	174	3.35714	2	1.57143	1	7	3	1	2	1.64286	1	8	3.35714	1	2	0.721514	0.2	1	0.569728	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
34	6	3.26471	25.5882	12.9706	204	111	870	441	459	0.272727	0.0745968	105	3.18182	16	20	16	35	11	3	0	25.3795	153	750.5	-5.58491	118	385	154.333	203.294	2037	-5.91583	61	61	61	544	304	3.57576	3	1.60606	1	7	3.21212	1	3	1.66667	1	7	3.57576	1	2	0.67684	0.2	1	0.537013	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
9	4.44444	2.44444	13.7778	6.88889	40	22	124	62	16	0	0.238095	13	1.625	8	10	8	10	4	0	0	3.10152	5.33333	7.88889	-1.89885	21	26.6667	18.5	21.7037	25.3333	-1.12585	12	12	12	36	28	2.625	2	1.375	1	5	2.625	1	2	1.375	1	5	2.625	1	1	0.6125	0.333333	1	0.6125	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
11	5.09091	3.09091	18.1818	10.7273	56	34	200	118	27	0.2	0.25	16	1.6	2	12	2	12	4	0	0	4.16414	9	16.1	-2.243	27	40	27	31.2727	52.8	-1.78907	16	16	16	55	43	2.7	2	1.3	1	4	2.3	1	2	1.4	1	5	2.7	1	2	0.775	0.25	1	0.565	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
7	3.71429	2	9.42857	5.14286	26	14	66	36	8	0.333333	0.2	9	1.5	1	8	1	8	4	0	0	0.571429	2.66667	3	-1.5396	12	16	12.1667	13.619	9.86667	-1.27343	8	8	8	21	18	2	2	1.16667	1	3	1.66667	1	2	1.33333	1	3	2	1	2	0.972222	0.333333	1	0.666667	0.333333	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
31	5.35484	2.70968	19.1613	9.09677	166	84	594	282	382	0.366667	0.0591133	113	3.76667	15	29	29	32	9	9	0	16.0248	127.333	562.689	-5.36794	126	320	156.5	158.172	1436.8	-5.11804	55	55	55	356	328	4.2	4	1.8	1	8	3.7	1	4	2.03333	1	8	4.2	1	3	0.832976	0.25	1	0.51754	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
21	6.28571	4.09524	30.1905	22.0952	132	86	634	464	144	0.05	0.157895	36	1.8	8	20	20	22	5	5	0	7.36015	48	150.733	-3.90964	103	146.667	76	89.3333	469.822	-2.01457	43	43	43	175	130	5.15	2	1.6	1	9	5.1	1	3	1.65	1	9	5.15	1	1	0.405159	0.142857	1	0.387659	0.142857	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
6	4	2.83333	12.6667	10.8333	24	17	76	65	3	0	0.5	6	1.2	3	5	5	7	3	0	0	0	1	1	-1	13	11.6667	10.5	10.8333	5.75556	0.55577	7	7	7	15	15	2.6	2	1.2	1	4	2.6	1	2	1.2	1	4	2.6	1	1	0.55	0.25	1	0.55	0.25	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0
