n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
35	5.88571	3.31429	23.7143	13.4857	206	116	830	472	492	0.352941	0.0681818	91	2.67647	20	34	20	36	7	13	0	12.1095	164	811.089	-5.7585	98	408	161.5	184.838	2202	-6.60622	71	71	71	409	323	2.88235	3	1.55882	1	5	2.55882	1	3	1.70588	1	5	2.88235	1	2	0.803431	0.25	1	0.606373	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5.7	3.55	25.3	19.25	114	71	506	385	133	0.473684	0.130719	36	1.89474	18	21	18	21	6	5	0	1.14323	44.3333	130.222	-3.88497	65	133	69.8333	80.05	381.267	-3.48253	38	38	38	157	123	3.42105	2	1.52632	1	6	3.10526	1	3	1.68421	1	6	3.42105	1	2	0.689474	0.166667	1	0.534211	0.166667	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
38	6.26316	3.55263	29.1053	16.1316	238	135	1106	613	584	0.405405	0.0730159	107	2.89189	19	20	20	39	9	11	2	18.6757	194.667	1059.29	-5.9197	147	481	168	223.614	2939.73	-6.16017	78	78	78	540	315	3.97297	3	1.62162	1	7	3.64865	1	3	1.7027	1	7	3.97297	1	2	0.580888	0.142857	1	0.485457	0.142857	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
37	5.89189	3.13514	24.8108	12.4865	218	116	918	462	557	0.388889	0.0638655	106	2.94444	14	38	26	38	10	11	0	12.2171	185.667	973.956	-5.94928	105	456	161.667	214.234	2613.13	-6.86636	75	75	75	543	313	2.91667	3	1.41667	1	5	2.58333	1	4	1.66667	1	6	2.91667	1	2	0.81713	0.2	1	0.585185	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
14	5.14286	2.92857	18.5714	10.3571	72	41	260	145	55	0.461538	0.166667	25	1.92308	4	12	4	15	5	1	0	1.48517	18.3333	38.5444	-2.95298	27	65	40.3333	45.381	116.333	-3.52315	22	22	22	88	72	2.07692	2	1.30769	1	3	1.76923	1	3	1.53846	1	3	2.07692	1	2	1.01282	0.333333	1	0.692308	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
16	6.375	4.1875	30.375	19.6875	102	67	486	315	69	0.466667	0.241758	29	1.93333	2	14	2	17	5	0	0	3.28146	23	58.5222	-3.00654	39	85	58	61.2083	200.6	-3.24782	29	29	29	120	110	2.6	2	1.33333	1	4	1.93333	1	4	1.8	1	4	2.6	1	4	1.22778	0.25	1	0.6	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
9	4.22222	2.22222	12.4444	6.22222	38	20	112	56	17	0.375	0.190476	18	2.25	3	5	3	10	5	0	0	0.75	5.66667	8.41111	-1.95389	11	26.6667	21	21.4074	24.7778	-3.14735	11	11	11	36	36	1.375	1	1	1	2	1.125	1	2	1.25	1	2	1.375	1	2	1.1875	0.5	1	0.8125	0.5	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
39	5.89744	3.28205	24.1026	13.5897	230	128	940	530	626	0.447368	0.0600601	131	3.44737	36	40	36	40	10	11	3	23.4103	208.667	1151.17	-6.06171	165	506.667	216.167	238.393	3072.44	-6.16397	76	76	76	578	457	4.34211	3	1.92105	1	6	3.05263	1	7	2.86842	1	9	4.34211	1	2	1.00175	0.25	1	0.52688	0.25	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
21	5.42857	2.95238	21.0476	11.2381	114	62	442	236	153	0.3	0.105263	64	3.2	11	22	17	22	10	0	0	2.79598	51	161.667	-4.01107	65	146.667	88.3333	92	432.422	-3.92727	32	32	32	210	180	3.25	2	1.8	1	6	3	1	3	1.95	1	6	3.25	1	1	0.711667	0.333333	1	0.611667	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
6	4	2.83333	12.6667	10.8333	24	17	76	65	3	0.2	0.5	6	1.2	2	4	4	7	3	0	0	0	1	1	-1	9	11.6667	10.5	10.8333	5.75556	-1.11154	7	7	7	15	15	1.8	2	1.2	1	3	1.8	1	2	1.2	1	3	1.8	1	1	0.766667	0.333333	1	0.766667	0.333333	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0
24	5.5	3.125	21.6667	13.7083	132	75	520	329	210	0.434783	0.0909091	51	2.21739	11	22	11	22	7	6	0	5.0267	70	240.144	-4.51712	77	191.667	91	104.556	660.556	-4.46152	43	43	43	232	172	3.34783	3	1.91304	1	6	3.04348	1	4	2.08696	1	6	3.34783	1	2	0.808696	0.2	1	0.642029	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
16	5.375	2.8125	20.625	9.5625	86	45	330	153	77	0.466667	0.153846	40	2.66667	5	12	5	12	5	2	0	4.23276	25.6667	60.4889	-3.30013	57	85	53.8333	56.3125	182.467	-2.07284	27	27	28	109	101	3.8	3	2	1	5	2.86667	1	4	2.33333	1	7	3.8	1	2	0.91	0.4	1	0.588571	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
21	5.2381	2.7619	18.1905	8.95238	110	58	382	188	155	0.5	0.0935673	57	2.85	3	15	3	22	7	3	0	6.85558	51.6667	159.744	-4.08787	78	146.667	78.1667	85.6508	424.111	-3.33431	35	35	35	189	151	3.9	4	2.2	1	4	2.5	1	6	3.15	1	8	3.9	1	2.5	1.275	0.333333	1	0.634167	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
27	6.14815	3.40741	28.1481	14.7407	166	92	760	398	268	0.5	0.106667	79	3.03846	7	14	14	28	9	4	0	10.2999	89.3333	364.389	-4.67984	61	242.667	104.833	136.148	1014.53	-5.70351	51	51	51	319	193	2.34615	2	1.15385	1	5	1.92308	1	3	1.57692	1	5	2.34615	1	3	1.12628	0.2	1	0.594231	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
19	5.05263	2.52632	18.6316	9.15789	96	48	354	174	123	0.333333	0.0955882	40	2.22222	18	20	18	20	6	5	0	1.20644	41	114.422	-3.83291	48	120	54	70.2807	304	-4.12948	32	32	32	134	87	2.66667	3	1.72222	1	5	2.38889	1	3	1.88889	1	5	2.66667	1	2	0.943519	0.333333	1	0.698148	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
18	5.77778	3.27778	26.5556	14.9444	104	59	478	269	101	0.411765	0.158333	36	2.11765	5	16	16	19	5	4	0	2.22077	33.6667	88.4444	-3.57985	54	107.667	58.1667	68.5	275.711	-3.23205	34	34	34	129	102	3.17647	2	1.35294	1	6	2.88235	1	2	1.41176	1	6	3.17647	1	2	0.681373	0.166667	1	0.553922	0.166667	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
11	4.36364	2.36364	12.7273	7.45455	48	26	140	82	31	0.6	0.138889	21	2.1	0	4	4	12	5	1	0	1.85649	10.3333	17.7222	-2.4546	20	40	28.5	29.1515	49.0667	-2.8552	15	15	15	51	51	2	2	1.2	1	2	1.3	1	3	1.8	1	4	2	1	3	1.5	0.5	1	0.683333	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
46	6.08696	3.41304	26.8696	15.4565	280	157	1236	711	895	0.422222	0.0539112	134	2.97778	33	47	29	47	8	19	0	19.0666	298.333	1895.99	-6.85147	162	705	257.5	279.399	5185.67	-7.54045	104	104	104	708	539	3.6	2	1.48889	1	7	3.24444	1	3	1.68889	1	7	3.6	1	3	0.717831	0.166667	1	0.500847	0.166667	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
