n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
24	5.25	2.79167	18.6667	10.2083	126	67	448	245	213	0.434783	0.0779221	55	2.3913	12	25	12	25	8	4	0	8.36961	71	246.056	-4.52628	60	191.667	86.3333	104.75	643.889	-5.18884	40	40	40	239	161	2.6087	2	1.43478	1	4	1.95652	1	4	1.86957	1	5	2.6087	1	3	1.13043	0.333333	1	0.604348	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
14	4.28571	1.78571	11.2857	3.5	60	25	158	49	61	0.461538	0.0757576	49	3.76923	3	15	3	15	8	0	0	1.75885	20.3333	43.0889	-3.0976	30	65	47	44.0952	106.333	-3.39417	18	18	18	91	91	2.30769	2	1.61538	1	3	2.07692	1	2	1.69231	1	3	2.30769	1	2	0.910256	0.333333	1	0.74359	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0
29	6.34483	3.72414	30.069	17.1034	184	108	872	496	314	0.464286	0.105413	73	2.60714	13	30	13	30	8	4	0	7.91833	104.667	438.378	-4.99901	68	280	129.5	153.609	1289.33	-5.90409	56	56	56	373	258	2.42857	2	1.39286	1	5	2.07143	1	3	1.60714	1	5	2.42857	1	3	0.974405	0.2	1	0.647024	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
26	5.07692	2.5	16.6923	7.65385	132	65	434	199	259	0.6	0.0615942	75	3	14	27	1	27	10	5	0	6.47344	86.3333	327.278	-4.77222	60	225	94.6667	120.59	810.6	-5.79536	43	43	43	294	174	2.4	3	1.44	1	4	1.76	1	3	1.88	1	5	2.4	1	3	1.23333	0.5	1	0.677333	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
9	4.44444	2.44444	13.7778	6.88889	40	22	124	62	16	0.25	0.238095	13	1.625	4	10	4	10	4	0	0	1.20455	5.33333	7.88889	-1.89885	13	26.6667	18.5	21.7037	25.3333	-2.71529	12	12	12	36	28	1.625	1	1	1	3	1.625	1	1	1	1	3	1.625	1	1	0.729167	0.333333	1	0.729167	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
14	6.14286	4.07143	27.5714	18.0714	86	57	386	253	48	0.0769231	0.272727	25	1.92308	3	15	3	15	4	0	0	8.52691	16	37.0667	-2.62802	41	65	48.3333	49	128	-2.12132	25	25	25	91	91	3.15385	2	1.30769	1	5	2.76923	1	2	1.38462	1	6	3.15385	1	2	0.667949	0.2	1	0.501282	0.2	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
10	4.4	2.3	13.2	6.3	44	23	132	63	23	0.444444	0.178571	17	1.88889	1	6	6	11	5	0	0	0.636364	7.66667	11.9222	-2.22038	16	33	23	25.5333	35.9333	-2.83596	13	13	13	45	39	1.77778	2	1.11111	1	3	1.55556	1	2	1.22222	1	3	1.77778	1	2	0.925926	0.333333	1	0.722222	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
25	5.04	2.56	17.04	9.12	126	64	426	228	237	0.541667	0.0632411	68	2.83333	3	14	3	26	9	6	0	5.60883	79	284.644	-4.68248	55	208	92.6667	110.773	715	-5.72188	42	42	42	242	172	2.29167	2	1.33333	1	3	1.625	1	4	1.83333	1	4	2.29167	1	4	1.3125	0.333333	1	0.670139	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
16	5	2.5625	17.25	8.0625	80	41	276	129	80	0.533333	0.120879	42	2.8	7	17	7	17	6	2	0	1.74665	26.6667	62.3	-3.37851	31	85	56.5	54.6458	175.667	-4.07426	25	25	25	110	110	2.06667	2	1.2	1	3	1.6	1	3	1.6	1	3	2.06667	1	3	1.2	0.333333	1	0.644444	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
7	4	2.57143	12	9.42857	28	18	84	66	7	0.166667	0.3	9	1.5	2	8	6	8	4	0	0	0.333333	2.33333	2.78889	-1.39721	19	16	13.5	14	10.1333	0.942421	8	8	8	21	21	3.16667	2	1.33333	1	4	2.83333	1	2	1.33333	1	5	3.16667	1	1	0.541667	0.25	1	0.497222	0.25	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
19	4.73684	2.31579	14.2105	6.63158	90	44	270	126	126	0.555556	0.0735294	44	2.44444	10	20	10	20	8	2	0	4.47424	42	118.022	-3.86605	37	120	58.3333	71.7544	294	-4.84066	28	28	28	159	104	2.05556	2	1.33333	1	4	1.66667	1	3	1.61111	1	4	2.05556	1	2	1.12037	0.5	1	0.712963	0.5	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
18	5.66667	3.5	23.8889	16.6111	102	63	430	299	102	0.352941	0.15	32	1.88235	3	12	3	12	5	3	0	5.7505	34	88.9889	-3.60422	43	107.667	62.1667	68.3519	272.756	-3.91556	32	32	32	136	115	2.52941	2	1.29412	1	3	1.94118	1	3	1.58824	1	4	2.52941	1	3	1.01961	0.333333	1	0.568627	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
14	4.42857	2.07143	12.5714	5.21429	62	29	176	73	60	0.538462	0.0909091	33	2.53846	7	8	7	15	7	1	0	1.05913	20	43.2556	-3.04095	21	65	37.3333	43.9048	108	-4.2339	19	19	19	88	64	1.61538	2	1.15385	1	3	1.46154	1	2	1.23077	1	3	1.61538	1	2	0.948718	0.333333	1	0.807692	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
21	5.04762	2.57143	16.4762	7.80952	106	54	346	164	157	0.55	0.0818713	48	2.4	15	22	1	22	8	5	0	5.25034	52.3333	162.922	-4.10004	54	146.667	65.3333	84.381	415.8	-4.54445	35	35	35	180	110	2.7	2	1.55	1	5	2.05	1	4	2.05	1	5	2.7	1	3	1.19917	0.4	1	0.681667	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
14	4.85714	2.78571	16.8571	11.2143	68	39	236	157	57	0.461538	0.136364	24	1.84615	2	15	2	15	6	2	0	1.29866	19	39.4667	-3.02439	28	65	39.1667	44.2143	113	-3.48067	21	21	21	83	68	2.15385	2	1.23077	1	2	1.38462	1	4	1.84615	1	4	2.15385	1	4	1.5	0.5	1	0.660256	0.25	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
12	5.5	3.25	23.8333	13.4167	66	39	286	161	33	0.363636	0.266667	22	2	6	13	6	13	4	1	0	1.04084	11	19.9778	-2.46104	25	47.6667	35.1667	36.3611	73.0889	-2.65132	20	20	20	63	63	2.27273	2	1.18182	1	4	1.90909	1	2	1.36364	1	4	2.27273	1	2	0.931818	0.25	1	0.613636	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
10	4.4	2.3	13.2	6.3	44	23	132	63	23	0.555556	0.178571	20	2.22222	4	6	4	11	5	0	0	0.954545	7.66667	12.4889	-2.16943	13	33	25.1667	25.7	35.9333	-3.33642	13	13	13	45	45	1.44444	1	1	1	2	1.33333	1	2	1.11111	1	2	1.44444	1	2	0.944444	0.5	1	0.777778	0.5	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
30	5.66667	3.16667	22.5333	13.3667	170	95	676	401	350	0.448276	0.0740741	68	2.34483	3	31	3	31	8	8	0	6.07403	116.667	492.789	-5.25553	78	299.667	122.833	149.7	1340.58	-6.05417	56	56	56	352	236	2.68966	3	1.58621	1	4	2	1	4	2.03448	1	5	2.68966	1	4	1.18678	0.25	1	0.648851	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
15	6.4	4.4	31.8667	23.3333	96	66	478	350	57	0.214286	0.269231	22	1.57143	8	16	8	16	4	1	0	9.09556	19	45.3444	-2.82157	48	74.6667	48.6667	54.7556	163.556	-2.08514	28	28	28	102	84	3.42857	2	1.14286	1	6	3.21429	1	3	1.21429	1	6	3.42857	1	1	0.49881	0.166667	1	0.461905	0.166667	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
22	5.72727	3.40909	23.7273	15.4091	126	75	522	339	168	0.619048	0.115789	57	2.71429	11	15	7	23	9	1	0	6.04403	56	182.611	-4.14404	59	161	97	99.1818	515.2	-4.49378	36	36	36	229	201	2.80952	3	1.7619	1	4	2.09524	1	4	2.33333	1	5	2.80952	1	4	1.32143	0.5	1	0.689683	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
