n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
34	5.41176	2.73529	19.5882	9.26471	184	93	666	315	469	0.545455	0.0544355	101	3.06061	11	35	20	35	10	10	0	11.5843	156.333	758.122	-5.67782	94	385	141	175.039	1920.33	-6.64056	62	62	62	452	271	2.84848	2	1.57576	1	4	2.21212	1	5	1.9697	1	5	2.84848	1	3	1.04293	0.25	1	0.610606	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
14	4.57143	2.35714	13.4286	6.92857	64	33	188	97	59	0.384615	0.106061	37	2.84615	3	15	3	15	6	1	0	2.12276	19.6667	42.4889	-3.01712	33	65	45.6667	44.0952	109.667	-3.05571	20	20	20	88	88	2.53846	3	1.61538	1	4	2.30769	1	3	1.76923	1	4	2.53846	1	2	0.903846	0.25	1	0.698718	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
30	6.06667	3.43333	27.3333	15.1667	182	103	820	455	344	0.448276	0.0899471	72	2.48276	19	31	19	31	8	6	0	11.4406	114.667	495.111	-5.15331	85	299.667	121.167	154.856	1394.31	-5.7489	58	58	58	369	230	2.93103	3	1.62069	1	5	2.44828	1	4	1.82759	1	5	2.93103	1	2	0.854598	0.2	1	0.627011	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
33	5.51515	2.78788	20.4848	9.33333	182	92	676	308	437	0.5	0.0602151	104	3.25	21	34	3	34	10	7	0	11.0195	145.667	689.367	-5.54798	82	362.667	137.667	182.04	1770.64	-6.66999	61	61	61	479	263	2.5625	3	1.5	1	3	1.96875	1	4	1.875	1	6	2.5625	1	3	1.05729	0.333333	1	0.649479	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
9	4.88889	2.66667	18.4444	8.88889	44	24	166	80	14	0.75	0.333333	14	1.75	3	10	5	10	4	0	0	2.40909	4.66667	7.48889	-1.70529	15	26.6667	18.3333	22.5185	26.4444	-2.26871	13	13	13	36	26	1.875	1	1	1	2	1.125	1	3	1.75	1	3	1.875	1	3	1.6875	0.5	1	0.645833	0.333333	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
12	4.33333	2.08333	11.8333	4.91667	52	25	142	59	40	0.363636	0.111111	27	2.45455	0	5	0	13	5	2	0	2.20956	13.3333	24.7556	-2.6798	30	47.6667	31.6667	33.2222	65	-2.19128	18	18	18	60	56	2.72727	2	1.54545	1	4	2	1	3	2	1	5	2.72727	1	3	1.19697	0.5	1	0.642424	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
6	3.33333	1.83333	7.66667	4.83333	20	11	46	29	5	0.4	0.166667	7	1.4	1	7	1	7	4	0	0	0	1.66667	1.58889	-1.32221	9	11.6667	9.33333	10.2222	5.44444	-1.14286	6	6	6	15	13	1.8	2	1.2	1	2	1.4	1	2	1.4	1	3	1.8	1	2	1.1	0.5	1	0.733333	0.5	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
32	5.0625	2.40625	16.5625	7.34375	162	77	530	235	415	0.516129	0.045977	118	3.80645	16	33	16	33	10	12	0	7.29417	138.333	630.778	-5.50793	69	341	143.833	159.177	1536.33	-6.93947	57	57	57	338	283	2.22581	2	1.3871	1	3	1.64516	1	4	1.80645	1	4	2.22581	1	3	1.2043	0.5	1	0.688172	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5.3	2.75	20.2	9.95	106	55	404	199	137	0.526316	0.104575	55	2.89474	12	21	5	21	8	2	0	2.99154	45.6667	133.8	-3.94795	38	133	77.3333	80.8333	366.333	-4.96347	32	32	32	180	154	2	2	1.10526	1	3	1.47368	1	4	1.52632	1	4	2	1	4	1.22807	0.333333	1	0.662281	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
6	3.66667	2.16667	9.66667	5.83333	22	13	58	35	4	0.4	0.333333	7	1.4	1	5	1	5	3	0	0	0	1.33333	1.35556	-1.1452	13	11.6667	10	10.5556	5.6	0.563436	7	7	7	15	15	2.6	2	1.4	1	3	2	1	3	1.6	1	4	2.6	1	1.5	0.866667	0.333333	1	0.6	0.333333	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0
17	4.94118	2.70588	16.7059	10.1176	84	46	284	172	94	0.5625	0.104762	30	1.875	1	11	11	18	5	4	0	0.956522	31.3333	76.1778	-3.58998	34	96	49.6667	58.4314	211.6	-4.2622	29	29	29	111	83	2.125	2	1.375	1	3	1.6875	1	3	1.6875	1	3	2.125	1	3	1.15625	0.333333	1	0.708333	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
18	5.33333	2.94444	19.2222	9.94444	96	53	346	179	105	0.647059	0.125	35	2.05882	1	10	10	19	5	4	0	2.39312	35	92.8778	-3.63172	38	107.667	56	66.5185	263.889	-4.28859	32	32	32	131	99	2.23529	2	1.41176	1	3	1.64706	1	4	1.88235	1	4	2.23529	1	3	1.2549	0.333333	1	0.696078	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
12	4.5	2.25	13.3333	5.91667	54	27	160	71	39	0.636364	0.133333	22	2	2	7	2	7	5	1	0	3.11564	13	24.4444	-2.62938	22	47.6667	28.1667	34.0278	66.1556	-3.15563	17	17	17	63	45	2	2	1.18182	1	3	1.36364	1	3	1.63636	1	4	2	1	3	1.37879	0.5	1	0.681818	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
16	4.625	2.0625	13.875	5.0625	74	33	222	81	83	0.533333	0.0879121	39	2.6	10	17	1	17	8	1	0	2.50175	27.6667	66.6444	-3.38903	33	85	43.3333	54.875	168.867	-4.00158	22	22	22	114	74	2.2	2	1.4	1	4	1.66667	1	3	1.73333	1	4	2.2	1	3	1.22222	0.5	1	0.744444	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
17	5.17647	2.58824	20.2353	9.76471	88	44	344	166	92	0.5	0.12381	43	2.6875	6	7	6	18	7	3	0	3.87324	30.6667	77.5444	-3.4825	33	96	55.5	61.5294	216.8	-4.27869	27	27	28	122	102	2.0625	3	1.3125	1	4	1.8125	1	3	1.5	1	4	2.0625	1	2	1.01562	0.25	1	0.713542	0.25	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
13	5.38462	3.07692	22.6154	12.4615	70	40	294	162	43	0.416667	0.218182	23	1.91667	2	8	8	14	5	1	0	0.703878	14.3333	28.6556	-2.67758	23	56	35.5	41.0256	93.8	-3.40732	21	21	21	76	60	1.91667	2	1.08333	1	4	1.66667	1	2	1.25	1	4	1.91667	1	2	0.965278	0.25	1	0.6875	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
15	4.66667	2.13333	14.2667	5.33333	70	32	214	80	70	0.642857	0.102564	36	2.57143	0	16	0	16	8	0	0	2.10201	23.3333	53.9778	-3.17592	29	74.6667	39	50.8444	138.133	-3.88553	20	20	20	105	63	2.07143	2	1.42857	1	4	1.85714	1	3	1.64286	1	4	2.07143	1	2	1.02381	0.5	1	0.75	0.5	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
30	6	3.5	25.7333	15.5667	180	105	772	467	345	0.551724	0.0873016	72	2.48276	10	12	4	10	9	5	0	5.32696	115	493.722	-5.17555	79	299.667	130.167	155.367	1385.36	-5.92865	56	56	56	381	258	2.72414	3	1.82759	1	4	2.27586	1	4	2.13793	1	4	2.72414	1	3	1.08908	0.25	1	0.704023	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
13	6	4.15385	28.1538	21.6923	78	54	366	282	39	0.25	0.290909	18	1.5	5	14	5	14	4	1	0	4.05431	13	26.8333	-2.50961	32	56	39	42.7692	99.4	-2.40723	23	23	23	76	66	2.66667	2	1.08333	1	5	2.41667	1	2	1.25	1	5	2.66667	1	2	0.780556	0.2	1	0.502778	0.2	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
20	5.3	2.65	19	8.15	106	53	380	163	137	0.631579	0.104575	76	4	7	21	7	21	8	1	0	3.26945	45.6667	136.811	-3.90426	47	133	89.5	81.5833	366.333	-4.49325	31	31	31	184	184	2.47368	3	1.78947	1	4	2.10526	1	4	2.15789	1	4	2.47368	1	2	1.10526	0.5	1	0.77193	0.5	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
14	4.57143	2.21429	13.8571	6.07143	64	31	194	85	59	0.692308	0.106061	29	2.23077	0	8	8	15	7	1	0	1.22777	19.6667	41.5111	-3.05245	26	65	37	43.8571	109.667	-3.72415	19	19	19	88	64	2	2	1.23077	1	3	1.69231	1	3	1.53846	1	3	2	1	3	1.08974	0.333333	1	0.705128	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
