n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
35	5.94286	3.31429	24.0571	12.8	208	116	842	448	491	0.411765	0.0700758	88	2.58824	20	23	20	36	9	9	0	10.9188	163.667	817.356	-5.72473	84	408	149.333	193.352	2214.4	-6.88521	68	68	68	477	287	2.47059	2	1.41176	1	4	2	1	3	1.61765	1	5	2.47059	1	3	0.997549	0.25	1	0.636765	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
16	4.875	2.5625	15.375	7.6875	78	41	246	123	81	0.4	0.10989	44	2.93333	2	17	2	17	6	3	0	2.44343	27	66.8667	-3.30186	41	85	55.1667	53.9792	173.4	-3.3414	26	26	26	105	105	2.73333	3	1.86667	1	4	2.53333	1	3	2	1	4	2.73333	1	2	0.9	0.25	1	0.727778	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
39	5.84615	3.17949	23.0256	11.8974	228	124	898	464	627	0.421053	0.0585586	114	3	21	40	21	40	10	10	0	16.6509	209	1168.42	-6.11429	121	506.667	176	229.709	3056.89	-6.97545	75	75	75	613	344	3.18421	2	1.57895	1	5	2.76316	1	3	1.71053	1	6	3.18421	1	3	0.763596	0.25	1	0.572368	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
31	5.16129	2.45161	16.6452	6.58065	160	76	516	204	385	0.466667	0.0517241	102	3.4	15	32	15	32	10	7	0	11.8816	128.333	574.567	-5.35389	84	320	120.667	156.022	1408	-6.28942	53	53	53	376	225	2.8	3	1.6	1	5	2.16667	1	4	1.86667	1	7	2.8	1	3	0.995	0.333333	1	0.642619	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
13	5.53846	3.23077	23.5385	12.9231	72	42	306	168	42	0.25	0.236364	23	1.91667	4	8	8	14	5	0	0	2.77191	14	28.6667	-2.61481	24	56	36.1667	41.8974	95.2	-3.27968	21	21	21	78	62	2	1	1	1	4	1.91667	1	2	1.08333	1	4	2	1	2	0.743056	0.25	1	0.618056	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
11	4.72727	2.54545	15.4545	7.45455	52	28	170	82	29	0.1	0.194444	20	2	2	10	2	12	5	0	0	2.98654	9.66667	16.7222	-2.3639	26	40	27.6667	30.4848	50.9333	-1.96167	15	15	15	55	48	2.6	2	1.4	1	4	2.2	1	2	1.5	1	5	2.6	1	2	0.816667	0.333333	1	0.606667	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
9	4.66667	2.88889	15.7778	10.2222	42	26	142	92	15	0.375	0.285714	12	1.5	6	10	6	10	4	0	0	0.75	5	7.3	-1.85058	15	26.6667	20	22	25.8889	-2.29293	12	12	12	36	32	1.875	1	1	1	3	1.5	1	3	1.375	1	3	1.875	1	3	1.16667	0.333333	1	0.645833	0.333333	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
40	6.15	3.475	26.7	14.625	246	139	1068	585	657	0.487179	0.0654339	137	3.51282	16	21	16	41	9	14	0	16.6111	219	1262.22	-6.16419	107	533	199.333	234.533	3403	-7.30262	84	84	84	560	394	2.74359	3	1.71795	1	4	2.12821	1	6	2.07692	1	6	2.74359	1	3	1.08761	0.333333	1	0.677778	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
23	6	3.56522	25.913	15.3043	138	82	596	352	184	0.409091	0.12381	59	2.68182	8	11	11	24	7	3	0	5.4856	61.3333	205.156	-4.28208	49	176	105.167	103.246	607.733	-5.15166	42	42	42	235	218	2.22727	2	1.13636	1	4	1.77273	1	4	1.5	1	4	2.22727	1	4	1.10227	0.25	1	0.613636	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
10	5.6	4.1	25.8	22.5	56	41	258	225	17	0.111111	0.392857	12	1.33333	9	11	9	11	4	0	0	0	5.66667	9.06667	-1.88193	30	33	26.1667	27.6333	40.3333	-0.472377	16	16	16	45	42	3.33333	2	1.33333	1	6	3.22222	1	2	1.33333	1	6	3.33333	1	1	0.55	0.166667	1	0.512963	0.166667	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
27	5.03704	2.51852	16.3704	8.2963	136	68	442	224	283	0.461538	0.0566667	69	2.65385	2	18	2	28	9	7	0	5.69814	94.3333	364.122	-4.94358	64	242.667	99.1667	119.901	907.2	-5.93188	47	47	47	281	184	2.46154	2	1.57692	1	4	2.11538	1	3	1.88462	1	4	2.46154	1	3	1.07051	0.333333	1	0.692308	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
30	5.6	2.96667	20.7333	9.96667	168	89	622	299	351	0.413793	0.0714286	85	2.93103	11	27	11	31	9	4	0	12.5796	117	510.4	-5.17882	92	299.667	119.667	155.333	1331.62	-5.69084	52	52	52	389	227	3.17241	2	1.65517	1	6	2.75862	1	3	1.75862	1	7	3.17241	1	2	0.809195	0.333333	1	0.625944	0.285714	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
31	5.6129	3.09677	21.4839	12.3871	174	96	666	384	378	0.333333	0.0689655	121	4.03333	8	32	8	32	10	6	0	11.0375	126	567.344	-5.2899	108	320	170.5	161.978	1475.2	-5.51964	56	56	56	390	365	3.6	3	1.9	1	5	3.33333	1	3	1.96667	1	6	3.6	1	1	0.647778	0.2	1	0.581111	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
24	5.41667	2.875	20.4167	10.4583	130	69	490	251	211	0.391304	0.0865801	66	2.86957	15	25	1	25	10	2	0	8.94746	70.3333	252.311	-4.42785	65	191.667	86.8333	110.458	655	-4.94928	39	39	39	258	158	2.82609	3	1.47826	1	7	2.43478	1	3	1.73913	1	7	2.82609	1	3	0.968219	0.285714	1	0.637785	0.285714	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
23	5.13043	2.43478	17.3043	6.95652	118	56	398	160	194	0.363636	0.0761905	70	3.18182	18	24	18	24	8	5	0	8.71311	64.6667	218.411	-4.37566	76	176	83.6667	98.1159	557.067	-4.23688	39	39	39	212	158	3.45455	3	1.68182	1	6	3.09091	1	3	1.77273	1	7	3.45455	1	2	0.701515	0.25	1	0.567208	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
15	5.33333	3.06667	21.8667	12.9333	80	46	328	194	65	0.285714	0.166667	27	1.92857	3	10	10	16	5	3	0	1.49312	21.6667	47.2333	-3.15259	30	74.6667	45.1667	50.4889	147.911	-3.67268	25	25	25	90	79	2.14286	2	1.21429	1	4	1.85714	1	2	1.35714	1	4	2.14286	1	2	0.910714	0.25	1	0.64881	0.25	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
13	5.23077	2.92308	19.3846	9.69231	68	38	252	126	44	0.416667	0.2	32	2.66667	3	7	7	14	5	0	0	2.35508	14.6667	30.4667	-2.65717	23	56	41.6667	41.2821	92.4	-3.43303	20	20	20	78	78	1.91667	1	1	1	4	1.83333	1	2	1.08333	1	4	1.91667	1	2	0.784722	0.25	1	0.659722	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
44	6.09091	3.43182	26.2273	14.8864	268	151	1154	655	812	0.395349	0.0569106	114	2.65116	2	45	19	45	8	17	0	16.9705	270.667	1652.59	-6.65813	146	645	217.833	263.265	4529	-7.4148	96	96	96	645	437	3.39535	3	1.93023	1	5	2.44186	1	4	2.48837	1	6	3.39535	1	4	1.18643	0.5	1	0.612403	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
13	6.15385	4.30769	29.0769	22.1538	80	56	378	288	38	0.333333	0.309091	18	1.5	3	14	3	14	4	0	0	3.08066	12.6667	27	-2.4377	31	56	39.6667	43.4872	100.8	-2.49006	23	23	23	78	68	2.58333	2	1.16667	1	5	2.25	1	3	1.41667	1	5	2.58333	1	3	0.926389	0.2	1	0.551389	0.2	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
25	5.36	2.8	19.44	9.6	134	70	486	240	233	0.458333	0.0790514	70	2.91667	7	13	13	26	9	4	0	5.89208	77.6667	281.433	-4.62964	69	208	101.333	114.96	739.267	-5.11228	42	42	42	263	201	2.875	3	1.83333	1	5	2.45833	1	3	2.16667	1	5	2.875	1	3	1.0375	0.4	1	0.7	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
18	5	2.5	16.8889	7.61111	90	45	304	137	108	0.352941	0.1	45	2.64706	8	19	8	12	8	1	0	4.51395	36	96.6667	-3.66154	34	107.667	57.3333	67.8519	255.022	-4.61298	27	27	27	149	105	2	2	1.17647	1	4	1.94118	1	2	1.17647	1	4	2	1	1	0.710784	0.25	1	0.691176	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
