n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
43	6.97674	4.27907	38.2326	23.5814	300	184	1644	1014	753	0.5	0.0817073	158	3.7619	20	25	20	44	9	10	0	21.0022	251	1563.14	-6.34854	123	616	256.667	291.659	4584.8	-7.28093	94	94	94	756	537	2.92857	2	1.47619	1	7	2.2381	1	5	2.04762	1	7	2.92857	1	5	1.25839	0.285714	1	0.580215	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
23	5.21739	2.6087	17.8261	7.73913	120	60	410	178	193	0.5	0.0809524	66	3	10	13	10	24	7	6	0	5.17402	64.3333	214.456	-4.39306	49	176	88	96.4058	562.133	-5.35654	41	41	41	207	171	2.22727	2	1.36364	1	3	1.59091	1	4	1.90909	1	4	2.22727	1	3	1.35606	0.333333	1	0.666667	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
49	6.12245	3.5102	27.4286	17.3878	300	172	1344	852	1026	0.5	0.0508788	157	3.27083	41	50	44	50	14	13	0	19.5889	342	2354.34	-7.04841	200	800	282.5	339.782	6310	-7.5533	97	97	97	937	603	4.16667	4	2.25	1	7	3.54167	1	5	2.6875	1	8	4.16667	1	4	0.942262	0.25	1	0.583681	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
38	6.31579	3.60526	29.7368	16.6053	240	137	1130	631	583	0.513514	0.0746032	110	2.97297	36	39	18	39	10	7	0	11.5064	194.333	1051.61	-5.99266	104	481	183.167	232.711	2954.47	-6.93588	75	75	75	610	369	2.81081	2	1.48649	1	4	2.05405	1	5	2.10811	1	5	2.81081	1	5	1.36036	0.333333	1	0.590991	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
18	5.66667	3.5	23.8889	16.6111	102	63	430	299	102	0.647059	0.15	33	1.94118	13	19	9	13	6	2	0	4.52443	34	90.0889	-3.58215	44	107.667	63	69.1481	272.756	-3.85501	31	31	31	145	118	2.58824	3	1.52941	1	4	1.88235	1	4	2.11765	1	4	2.58824	1	4	1.40196	0.5	1	0.647059	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
19	4.94737	2.42105	15.7895	6.63158	94	46	300	126	124	0.611111	0.0882353	45	2.5	10	17	10	20	7	3	0	6.00128	41.3333	115.6	-3.84434	42	120	58.8333	71.3333	300.667	-4.49834	30	30	30	154	106	2.33333	2	1.44444	1	2	1.61111	1	3	1.83333	1	4	2.33333	1	2	1.19444	0.5	1	0.675926	0.5	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
12	6.16667	4.25	29.8333	20.9167	74	51	358	251	29	0.454545	0.355556	18	1.63636	5	13	5	13	4	0	0	3.7602	9.66667	19.5556	-2.18596	25	47.6667	37.1667	38.3611	77.7111	-2.57126	21	21	21	66	66	2.27273	2	1.09091	1	4	1.63636	1	4	1.72727	1	4	2.27273	1	4	1.46212	0.25	1	0.606061	0.25	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
33	6	3.39394	24.8485	13.5152	198	112	820	446	429	0.3125	0.0774194	78	2.4375	29	31	31	34	7	11	0	9.01331	143	676.644	-5.49738	126	362.667	134.333	170.909	1858.29	-5.4901	68	68	68	419	251	3.9375	3	1.875	1	7	3.625	1	4	2.0625	1	7	3.9375	1	3	0.723512	0.25	1	0.536012	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
24	7.08333	4.875	41.4167	31.9583	170	117	994	767	191	0.434783	0.17316	56	2.43478	9	25	15	25	8	1	0	6.89348	63.6667	236.889	-4.13656	67	191.667	121.5	120.625	766.111	-4.50406	48	48	48	268	253	2.91304	3	1.65217	1	6	2.26087	1	5	2.21739	1	6	2.91304	1	5	1.36522	0.333333	1	0.649275	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
7	4.28571	2.85714	13.7143	10.2857	30	20	96	72	6	0.666667	0.4	8	1.33333	1	3	3	8	3	0	0	0	2	2.4	-1.29099	10	16	13.6667	14.2857	10.4	-1.86052	9	9	9	21	21	1.66667	1	1	1	1	1	1	3	1.66667	1	3	1.66667	1	3	1.66667	1	1	0.722222	0.333333	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0
30	5.8	3.23333	24.5333	13.9667	174	97	736	419	348	0.586207	0.0793651	101	3.48276	18	20	12	31	9	6	0	9.25847	116	502.689	-5.17378	95	299.667	152.667	158.022	1358.49	-5.55289	56	56	56	387	320	3.27586	3	2	1	4	2.51724	1	6	2.62069	1	6	3.27586	1	3	1.13793	0.25	1	0.673563	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
19	6.21053	3.89474	28.1053	17.3684	118	74	534	330	112	0.388889	0.176471	35	1.94444	8	16	16	20	5	2	0	4.48981	37.3333	111.8	-3.53082	50	120	63.8333	77.9649	340.667	-3.79257	36	36	36	159	110	2.77778	2	1.61111	1	5	2.38889	1	3	1.83333	1	5	2.77778	1	2	0.92963	0.333333	1	0.655556	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
26	5.84615	3.26923	23.8462	12.5	152	85	620	325	249	0.44	0.0978261	67	2.68	14	27	14	27	8	2	0	7.11953	83	317.256	-4.65987	73	225	106	127.897	876.6	-5.13385	45	45	45	313	208	2.92	2	1.76	1	5	2.36	1	4	2.16	1	5	2.92	1	2	1.036	0.333333	1	0.672	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
29	6.13793	3.44828	28.2069	15.2414	178	100	818	442	317	0.464286	0.0968661	76	2.71429	25	30	25	30	8	6	0	9.41375	105.667	450.667	-4.97749	83	280	112.333	147.08	1264.33	-5.54033	57	57	57	350	206	2.96429	4	1.92857	1	5	2.42857	1	5	2.32143	1	5	2.96429	1	2.5	1.07262	0.2	1	0.69881	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
24	6.25	3.79167	27.9167	16.4583	150	91	670	395	201	0.478261	0.12987	54	2.34783	17	25	17	25	6	3	0	7.33658	67	237.956	-4.34337	63	191.667	99.1667	112.181	710.556	-4.82689	46	46	46	255	195	2.73913	3	1.78261	1	4	2.08696	1	5	2.30435	1	5	2.73913	1	3	1.23551	0.333333	1	0.691304	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
19	5.89474	3.47368	27.1579	16.1053	112	66	516	306	115	0.5	0.154412	38	2.11111	11	17	11	20	5	5	0	1.08102	38.3333	104.3	-3.75348	55	120	68	74.9123	330.667	-3.57452	37	37	37	140	125	3.05556	3	1.94444	1	4	2.44444	1	4	2.22222	1	5	3.05556	1	2	1.00926	0.333333	1	0.685185	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
19	5.15789	2.52632	18	7.57895	98	48	342	144	122	0.444444	0.102941	48	2.66667	18	20	8	20	8	1	0	3.64358	40.6667	115.744	-3.77997	40	120	58.3333	75.614	307.333	-4.56336	29	29	29	168	102	2.22222	2	1.44444	1	3	1.72222	1	3	1.83333	1	3	2.22222	1	3	1.22222	0.333333	1	0.694444	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
51	7.29412	4.5098	42.4314	26.1569	372	230	2164	1334	1089	0.48	0.0739796	142	2.84	35	48	35	52	7	22	0	16.2074	363	2590.84	-7.13158	173	866.667	295.333	353.281	7939.82	-7.78476	134	134	134	876	596	3.46	2	1.58	1	7	2.78	1	5	2.1	1	7	3.46	1	5	1.12005	0.2	1	0.534714	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
17	7.17647	5.17647	42.4706	33.0588	122	88	722	562	75	0.6875	0.285714	26	1.625	5	13	13	18	5	1	0	5.20198	25	68.1	-3.02947	61	96	64.6667	69.8039	261	-2.16645	35	35	35	134	118	3.8125	2	1.5625	1	4	2.5	1	6	2.4375	1	8	3.8125	1	3	1.11979	0.25	1	0.49494	0.25	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
37	6.32432	3.56757	30.6486	17.027	234	132	1134	630	549	0.527778	0.0773109	127	3.52778	21	24	24	38	9	11	0	11.8236	183	953.633	-5.92598	129	456	219.167	218.27	2724.6	-6.26464	77	77	77	509	476	3.58333	4	1.97222	1	5	2.80556	1	5	2.52778	1	6	3.58333	1	5	1.1588	0.333333	1	0.597685	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
19	4.63158	2.10526	13.2632	5.05263	88	40	252	96	127	0.5	0.0661765	64	3.55556	10	20	12	20	10	0	0	2.57872	42.3333	119.667	-3.86987	41	120	71.6667	74.8772	290.667	-4.63372	26	26	26	171	143	2.27778	2	1.72222	1	2	1.77778	1	3	2.11111	1	4	2.27778	1	2	1.19444	0.5	1	0.805556	0.5	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
20	5.1	2.75	17.2	9.65	102	55	344	193	139	0.631579	0.0915033	55	2.89474	9	21	11	21	8	2	0	4.31678	46.3333	137.656	-3.94909	49	133	78.3333	79.8667	358.867	-4.43417	32	32	32	178	158	2.57895	3	1.78947	1	3	1.84211	1	4	2.31579	1	5	2.57895	1	3	1.33333	0.5	1	0.737719	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
35	5.71429	2.97143	23.3714	11.6	200	104	818	406	495	0.441176	0.0625	117	3.44118	12	28	28	36	9	10	0	9.09788	165	820	-5.76205	116	408	173.5	189.333	2164.8	-6.27587	68	68	76	464	353	3.41176	3	1.85294	1	6	2.97059	1	3	2.08824	1	6	3.41176	1	3	0.882353	0.25	1	0.603922	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
17	5.41176	3.17647	20.5882	12.5882	92	54	350	214	90	0.5625	0.142857	32	2	8	13	8	18	5	3	0	2.67785	30	74.7333	-3.47028	38	96	56.3333	61.4118	222	-3.89271	30	30	30	124	104	2.375	2	1.375	1	3	1.75	1	3	1.75	1	4	2.375	1	3	1.19792	0.333333	1	0.635417	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
19	5.15789	2.84211	18.6316	11.0526	98	54	354	210	122	0.555556	0.102941	38	2.11111	14	16	16	20	7	3	0	3.8553	40.6667	111.944	-3.84359	47	120	61.6667	72.9123	307.333	-4.16407	31	31	31	157	111	2.61111	2	1.44444	1	3	2.11111	1	3	1.72222	1	4	2.61111	1	2	0.962963	0.333333	1	0.601852	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
23	5.82609	3.47826	24.6087	15.8261	134	80	566	364	186	0.5	0.114286	48	2.18182	10	20	20	24	7	4	0	5.42003	62	210.911	-4.26916	67	176	85	101.971	597.6	-4.45883	42	42	42	227	155	3.04545	3	1.68182	1	5	2.45455	1	5	2.13636	1	5	3.04545	1	2.5	1.04848	0.25	1	0.631061	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
38	5.57895	2.86842	20.7368	9.81579	212	109	788	373	597	0.486486	0.052381	131	3.54054	18	32	32	39	11	13	0	9.98919	199	1076.4	-6.06549	119	481	187.667	210.474	2748.2	-6.90533	74	74	77	529	385	3.21622	3	2.24324	1	5	2.67568	1	5	2.62162	1	6	3.21622	1	2	1.05	0.5	1	0.736937	0.5	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
28	6.21429	3.67857	28.2857	16.6071	174	103	792	465	291	0.407407	0.104615	66	2.44444	12	24	12	24	7	5	0	10.6612	97	397.6	-4.86462	71	261	116.833	142.464	1142.6	-5.62091	55	55	55	336	225	2.62963	3	1.51852	1	6	2.18519	1	3	1.77778	1	6	2.62963	1	3	1.02099	0.333333	1	0.647531	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5.6	3.25	22.9	13.85	112	65	458	277	134	0.473684	0.124183	52	2.73684	9	12	9	21	7	2	0	3.83423	44.6667	135.367	-3.83908	39	133	78.1667	82.15	377.533	-4.83783	34	34	34	178	152	2.05263	2	1.21053	1	3	1.57895	1	3	1.52632	1	4	2.05263	1	3	1.17544	0.333333	1	0.675439	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
45	6.48889	3.91111	31.2889	20.4444	292	176	1408	920	844	0.545455	0.0653378	143	3.25	35	46	41	46	12	12	0	17.71	281.333	1788.64	-6.65211	201	674.667	255.5	305.644	5038.53	-6.67299	94	94	94	802	532	4.56818	4	2	1	5	3.56818	1	5	2.61364	1	9	4.56818	1	3	0.848485	0.2	1	0.477661	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
24	5.33333	2.79167	18.6667	8.95833	128	67	448	215	212	0.391304	0.0822511	53	2.30435	12	22	12	25	7	8	0	6.21794	70.6667	244.767	-4.51688	65	191.667	80.6667	100.806	649.444	-4.9704	45	45	45	209	142	2.82609	2	1.52174	1	4	2.43478	1	3	1.69565	1	6	2.82609	1	2	0.84058	0.25	1	0.622464	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
