n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
25	5.04	2.48	16.8	7.92	126	62	420	198	237	0.0833333	0.0632411	89	3.70833	21	26	20	26	10	5	0	5.50907	79	287.744	-4.65719	81	208	101.167	114	715	-4.74953	40	40	40	257	194	3.375	3	1.91667	1	5	3.29167	1	3	2	1	5	3.375	1	2	0.684722	0.25	1	0.601389	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
12	4.16667	1.75	11.3333	3.91667	50	21	136	47	41	0.0909091	0.0888889	33	3	3	6	6	13	7	1	0	0.275862	13.6667	25.1778	-2.72367	16	47.6667	33.6667	33.2778	63.8444	-3.96315	15	15	15	62	62	1.45455	2	1.09091	1	3	1.45455	1	2	1.09091	1	3	1.45455	1	1	0.848485	0.333333	1	0.848485	0.333333	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
31	4.90323	2.25806	14.9032	6.19355	152	70	462	192	389	0.2	0.0418719	88	2.93333	30	32	29	32	10	11	0	10.0312	129.667	575.6	-5.40465	131	320	111	144.301	1369.6	-5.10699	56	56	56	342	198	4.36667	4	2.3	1	7	4.06667	1	5	2.53333	1	8	4.36667	1	1.5	0.682222	0.25	1	0.587302	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
19	4.94737	2.42105	18	8.84211	94	46	342	168	124	0.0555556	0.0882353	50	2.77778	7	20	16	20	10	2	0	1.77339	41.3333	116.444	-3.83037	56	120	59.3333	74.6316	300.667	-3.69094	28	28	28	163	103	3.11111	3	1.94444	1	6	3.05556	1	3	1.94444	1	6	3.11111	1	1	0.708333	0.333333	1	0.699074	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
7	4	2	12	5.14286	28	14	84	36	7	0	0.3	10	1.66667	6	8	5	8	4	0	0	0.833333	2.33333	2.78889	-1.39721	13	16	12	14	10.1333	-0.942421	8	8	8	21	17	2.16667	2	1.5	1	4	2.16667	1	2	1.5	1	4	2.16667	1	1	0.777778	0.5	1	0.777778	0.5	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
12	4.16667	2.08333	11.3333	6.41667	50	25	136	77	41	0.181818	0.0888889	23	2.09091	2	10	2	10	7	1	0	0.565217	13.6667	25.1111	-2.72728	23	47.6667	29.6667	33.2778	63.8444	-3.08709	15	15	15	63	51	2.09091	2	1.36364	1	3	1.81818	1	3	1.54545	1	3	2.09091	1	2	0.969697	0.333333	1	0.727273	0.333333	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
6	4	1.83333	12.6667	4.83333	24	11	76	29	3	0	0.5	10	2	1	4	4	7	3	0	0	0	1	1	-1	8	11.6667	10.1667	10.8333	5.75556	-1.52837	7	7	7	15	15	1.6	1	1	1	3	1.6	1	1	1	1	3	1.6	1	1	0.766667	0.333333	1	0.766667	0.333333	0	0	1	1	0	1	1	0	0	0	1	1	1	1	0
33	4.78788	2.18182	14.6667	6.9697	158	72	484	230	449	0.25	0.0344086	161	5.03125	26	34	7	34	12	12	0	5.82766	149.667	701.489	-5.65086	156	362.667	161.167	170.707	1639.18	-5.10455	57	58	58	369	312	4.875	4	2.3125	1	6	4.21875	1	5	2.84375	1	8	4.875	1	1.25	0.694271	0.2	1	0.525484	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
23	5.82609	3.30435	26.4348	15.3043	134	76	608	352	186	0.227273	0.114286	72	3.27273	7	16	16	24	9	6	0	3.04358	62	210.967	-4.26859	80	176	99.6667	101.275	597.6	-3.92705	44	44	44	211	193	3.63636	3	2.04545	1	6	3.40909	1	4	2.22727	1	6	3.63636	1	1.33333	0.709091	0.333333	1	0.618939	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
7	3.42857	1.42857	7.71429	2.57143	24	10	54	18	9	0	0.1	14	2.33333	4	5	4	8	5	0	0	0	3	3.38889	-1.62964	12	16	13	13.3333	9.6	-1.29099	7	7	7	21	21	2	2	1.66667	1	3	2	1	2	1.66667	1	3	2	1	1	0.861111	0.5	1	0.861111	0.5	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
17	5.64706	3.52941	24.1176	17.1765	96	60	410	292	88	0.0625	0.161905	29	1.8125	6	16	16	18	5	3	0	5.05907	29.3333	72.6667	-3.44107	49	96	56.8333	62.7451	227.2	-3.11813	30	30	30	121	103	3.0625	2	1.375	1	6	3	1	2	1.4375	1	6	3.0625	1	2	0.646875	0.166667	1	0.553125	0.166667	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
