n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
26	5.30769	2.73077	19.4615	9.73077	138	71	506	253	256	0.48	0.0724638	60	2.4	15	16	15	27	7	8	0	5.43145	85.3333	312.856	-4.82444	62	225	93.8333	112.91	830.4	-5.65645	48	48	48	246	172	2.48	2	1.32	1	5	1.96	1	3	1.68	1	5	2.48	1	3	1.158	0.2	1	0.634	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
15	4.8	2.53333	15.0667	7.73333	72	38	226	116	69	0.428571	0.115385	39	2.78571	3	16	3	16	6	2	0	1.92502	23	53.2778	-3.15105	36	74.6667	50.5	49.2889	140.089	-3.26689	23	23	23	97	97	2.57143	3	1.78571	1	4	2.35714	1	3	1.92857	1	4	2.57143	1	2	0.928571	0.25	1	0.738095	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
25	5.28	2.72	18.72	9.12	132	68	468	228	234	0.458333	0.0750988	63	2.625	11	26	15	26	8	5	0	9.96311	78	283.956	-4.62881	68	208	89.1667	111.76	733.2	-5.17031	43	43	43	263	164	2.83333	2	1.58333	1	5	2.41667	1	3	1.66667	1	6	2.83333	1	2	0.794444	0.333333	1	0.627778	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
23	5.13043	2.43478	18.6087	8.26087	118	56	428	190	194	0.590909	0.0761905	67	3.04545	16	24	1	24	10	4	0	6.16572	64.6667	217.178	-4.38806	58	176	77.5	100.551	557.067	-4.99952	37	37	37	229	139	2.63636	3	1.5	1	4	1.77273	1	5	2.13636	1	5	2.63636	1	5	1.43939	0.5	1	0.681061	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
8	4.25	2.375	13	6.875	34	19	104	55	11	0.428571	0.266667	11	1.57143	2	9	2	6	4	0	0	0	3.66667	4.78889	-1.67554	11	21	15.6667	17.6667	16.6	-2.4544	10	10	10	28	24	1.57143	1	1	1	3	1.42857	1	2	1.14286	1	3	1.57143	1	2	0.97619	0.333333	1	0.761905	0.333333	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
10	4.6	2.7	15	9.3	46	27	150	93	22	0.222222	0.214286	19	2.11111	0	3	0	3	5	0	0	2.40842	7.33333	12.4	-2.08253	24	33	25.6667	26.1333	36.6667	-1.4863	13	13	13	45	45	2.66667	2	1.44444	1	4	2.33333	1	2	1.55556	1	4	2.66667	1	2	0.824074	0.25	1	0.601852	0.25	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
7	3.42857	1.71429	7.71429	4.28571	24	12	54	30	9	0.5	0.1	9	1.5	2	8	2	8	4	1	0	0	3	3.23333	-1.66838	11	16	11.5	13.1429	9.6	-1.61374	8	8	8	19	15	1.83333	2	1.16667	1	2	1.33333	1	2	1.5	1	3	1.83333	1	2	1.25	0.5	1	0.694444	0.5	0	0	0	0	0	0	1	0	0	0	1	1	1	1	0
28	4.92857	2.46429	16.5	9.75	138	69	462	273	309	0.703704	0.0492308	86	3.18519	17	18	4	14	11	9	0	4.19799	103	412.922	-5.06878	60	261	112.167	129.393	1003.4	-6.3454	48	48	48	281	213	2.22222	3	1.44444	1	3	1.59259	1	4	1.85185	1	6	2.22222	1	4	1.2716	0.5	1	0.752469	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
15	5.86667	3.73333	26.2667	17.3333	88	56	394	260	61	0.357143	0.217949	26	1.85714	3	16	7	16	6	0	0	2.18155	20.3333	47.5222	-2.94958	35	74.6667	48.6667	53.6889	155.733	-3.17859	25	25	25	105	89	2.5	2	1.57143	1	4	2.14286	1	3	1.71429	1	5	2.5	1	2	0.904762	0.333333	1	0.695238	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
7	4	2.57143	12	9.42857	28	18	84	66	7	0.333333	0.3	8	1.33333	6	8	6	8	4	0	0	0	2.33333	2.56667	-1.45644	15	16	13	13.9048	10.1333	-0.31414	8	8	8	21	19	2.5	2	1.16667	1	4	2.16667	1	2	1.33333	1	4	2.5	1	2	0.847222	0.25	1	0.541667	0.25	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
19	5.15789	2.84211	18	10.4211	98	54	342	198	122	0.555556	0.102941	39	2.16667	3	12	12	20	7	2	0	3.32632	40.6667	112.7	-3.83069	47	120	62.8333	73.2281	307.333	-4.16407	30	30	30	161	116	2.61111	2	1.5	1	5	2.16667	1	3	1.77778	1	5	2.61111	1	2	1.0037	0.333333	1	0.642593	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
17	4.70588	2.35294	14.2353	6.94118	80	40	242	118	96	0.625	0.0857143	34	2.125	0	10	0	18	7	3	0	1.94376	32	79.4778	-3.58944	37	96	48.3333	58.549	206.4	-4.10674	26	26	26	119	84	2.3125	2	1.375	1	3	1.625	1	4	1.9375	1	4	2.3125	1	4	1.38542	0.5	1	0.661458	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
14	4	1.64286	9.57143	3.5	56	23	134	49	63	0.461538	0.0454545	36	2.76923	2	15	2	7	8	2	0	6.25731	21	45.0222	-3.12972	41	65	35.8333	42.0238	103	-2.36479	18	18	18	81	60	3.15385	3	1.84615	1	5	2.46154	1	3	1.84615	1	7	3.15385	1	1	0.796154	0.5	1	0.668864	0.428571	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
18	4.55556	1.94444	12.8889	4.27778	82	35	232	77	112	0.588235	0.0666667	49	2.88235	12	19	0	19	8	4	0	3.53537	37.3333	101.567	-3.70443	42	107.667	49.3333	64.1481	243.2	-4.21079	28	28	28	129	81	2.47059	2	1.52941	1	4	1.88235	1	3	2	1	5	2.47059	1	3	1.23039	0.5	1	0.719608	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
16	5.25	2.8125	20.625	10.6875	84	45	330	171	78	0.6	0.142857	34	2.26667	3	10	10	17	7	2	0	3.3212	26	61.6222	-3.31211	37	85	49.5	56.3125	180.2	-3.57572	26	26	26	112	90	2.46667	3	1.26667	1	4	1.86667	1	3	1.66667	1	5	2.46667	1	3	1.13889	0.333333	1	0.6	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
9	4.88889	2.88889	18.4444	10.2222	44	26	166	92	14	0.5	0.333333	14	1.75	5	10	5	10	4	0	0	0	4.66667	6.68889	-1.80439	14	26.6667	21.3333	22.2963	26.4444	-2.46317	13	13	13	36	36	1.75	1	1	1	3	1.5	1	2	1.25	1	3	1.75	1	2	1.04167	0.333333	1	0.666667	0.333333	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
9	4.22222	1.77778	12.4444	4.22222	38	16	112	38	17	0.5	0.190476	29	3.625	2	4	4	10	5	0	0	0.829545	5.66667	8.32222	-1.9643	15	26.6667	22.1667	21.4074	24.7778	-2.34377	11	11	11	36	36	1.875	1	1	1	4	1.875	1	1	1	1	4	1.875	1	1	0.697917	0.25	1	0.697917	0.25	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
32	5.5	2.96875	20.6875	11.8438	176	95	662	379	408	0.322581	0.062069	78	2.51613	18	33	4	18	8	10	0	10.016	136	614.444	-5.48653	96	341	132.5	159.323	1608.2	-6.10936	61	61	61	380	256	3.09677	3	1.70968	1	4	2.3871	1	4	2	1	6	3.09677	1	3	0.967742	0.25	1	0.614516	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
12	5.66667	3.91667	25.3333	20.4167	68	47	304	245	32	0.181818	0.288889	17	1.54545	6	11	6	13	5	0	0	3.44776	10.6667	20.2444	-2.3707	31	47.6667	35	37.1111	74.2444	-1.93427	19	19	19	66	61	2.81818	2	1.18182	1	5	2.72727	1	2	1.18182	1	5	2.81818	1	1	0.548485	0.2	1	0.518182	0.2	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
18	5.11111	2.5	17.8889	7.61111	92	45	322	137	107	0.529412	0.108333	62	3.64706	7	19	7	19	8	1	0	2.63807	35.6667	96.3889	-3.63286	46	107.667	70.8333	69.0185	257.978	-3.83936	27	27	27	151	141	2.70588	3	1.76471	1	4	2.05882	1	4	2.29412	1	4	2.70588	1	4	1.35294	0.5	1	0.710784	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
11	4.36364	2	12.7273	4.72727	48	22	140	52	31	0.4	0.138889	24	2.4	6	8	6	12	5	1	0	0.877672	10.3333	17.1444	-2.49562	19	40	27.3333	29.2121	49.0667	-2.99796	15	15	16	52	47	1.9	2	1.2	1	4	1.9	1	2	1.2	1	4	1.9	1	1	0.75	0.333333	1	0.75	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
9	4	2	10.4444	4.88889	36	18	94	44	18	0.375	0.142857	18	2.25	4	5	4	10	5	0	0	1.65909	6	8.88889	-2.01246	13	26.6667	20.6667	21.1111	24.2222	-2.77687	11	11	11	36	36	1.625	1	1	1	3	1.625	1	1	1	1	3	1.625	1	1	0.729167	0.333333	1	0.729167	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
24	4.91667	2.375	15.4167	6.95833	118	57	370	167	217	0.608696	0.0606061	57	2.47826	2	16	2	25	7	6	0	3.62032	72.3333	250.144	-4.57344	55	191.667	78.3333	99.8889	621.667	-5.4813	39	39	39	224	137	2.3913	3	1.56522	1	3	1.86957	1	4	2	1	5	2.3913	1	3	1.18116	0.333333	1	0.718116	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
11	3.81818	1.63636	8.90909	3.63636	42	18	98	40	34	0.5	0.0555556	23	2.3	3	6	3	12	7	1	0	3.54893	11.3333	19.6778	-2.55487	19	40	23.8333	28.5455	46.2667	-3.08735	13	13	13	52	37	1.9	2	1.2	1	3	1.5	1	2	1.4	1	3	1.9	1	2	1.08333	0.333333	1	0.716667	0.333333	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0
