n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
39	5.58974	2.92308	20.2564	9.89744	218	114	790	386	632	0.421053	0.0510511	107	2.81579	22	23	22	40	9	15	0	16.693	210.667	1158.11	-6.19043	116	506.667	166.5	215.778	2979.11	-7.15753	77	77	77	515	316	3.05263	3	1.73684	1	4	2.31579	1	4	2.07895	1	6	3.05263	1	3	1.0307	0.25	1	0.618421	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
19	5.47368	3.15789	20.2105	11.6842	104	60	384	222	119	0.388889	0.125	53	2.94444	3	20	3	20	6	3	0	3.93194	39.6667	116.456	-3.67575	50	120	76.8333	74.0702	317.333	-3.92953	33	33	33	153	153	2.77778	3	1.88889	1	5	2.55556	1	3	2	1	5	2.77778	1	2	0.894444	0.25	1	0.732407	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
39	5.89744	3.17949	25.0256	13.1282	230	124	976	512	626	0.394737	0.0600601	113	2.97368	3	21	21	40	11	11	0	17.9885	208.667	1163.62	-6.11712	120	506.667	173.5	232.53	3072.44	-6.97581	76	76	76	574	334	3.15789	3	1.65789	1	5	2.86842	1	3	1.73684	1	6	3.15789	1	2	0.70614	0.2	1	0.601316	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
39	5.4359	2.76923	19.0256	9.12821	212	108	742	356	635	0.421053	0.0465465	136	3.57895	25	40	2	40	12	9	0	16.826	211.667	1175.46	-6.17375	109	506.667	184.667	235.333	2932.44	-7.34352	71	71	71	656	368	2.86842	3	1.60526	1	5	2.28947	1	4	1.92105	1	7	2.86842	1	3	0.975877	0.333333	1	0.62619	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
12	5.5	3.25	23.8333	13.4167	66	39	286	161	33	0.272727	0.266667	20	1.81818	4	8	8	13	5	0	0	1.85917	11	21.1111	-2.39407	21	47.6667	31.5	36.8056	73.0889	-3.1192	19	19	19	66	52	1.90909	1	1	1	4	1.81818	1	2	1.09091	1	4	1.90909	1	2	0.780303	0.25	1	0.643939	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
16	4.875	2.4375	15.375	6.5625	78	39	246	105	81	0.333333	0.10989	38	2.53333	0	17	0	17	6	3	0	7.41127	27	66.8667	-3.30186	50	85	46.1667	53.9792	173.4	-2.65793	26	26	26	105	80	3.33333	2	1.66667	1	5	2.46667	1	3	2.13333	1	6	3.33333	1	3	1.07667	0.333333	1	0.553333	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
6	3.33333	1.5	7.66667	2.83333	20	9	46	17	5	0.6	0.166667	8	1.6	0	7	0	4	4	0	0	0	1.66667	1.68889	-1.28247	9	11.6667	8.83333	10.2778	5.44444	-1.14286	6	6	6	15	12	1.8	2	1.2	1	2	1.4	1	2	1.4	1	3	1.8	1	2	1.1	0.5	1	0.733333	0.5	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
40	6.25	3.575	28.05	15.675	250	143	1122	627	655	0.435897	0.0682788	125	3.20513	19	41	19	21	8	15	0	19.0079	218.333	1246.38	-6.18437	110	533	186	233.183	3435.8	-7.2165	88	88	88	551	347	2.82051	2	1.53846	1	4	1.97436	1	6	2.10256	1	6	2.82051	1	3	1.20085	0.333333	1	0.616239	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
21	6.19048	3.90476	28.4762	18.9524	130	82	598	398	145	0.4	0.152047	36	1.8	4	22	4	22	6	4	0	4.72478	48.3333	149.178	-3.95726	55	146.667	74	89.0794	465.667	-4.2479	40	40	40	186	130	2.75	2	1.45	1	3	1.95	1	5	2.05	1	5	2.75	1	3	1.16667	0.333333	1	0.606667	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
7	4.28571	2.85714	13.7143	10.2857	30	20	96	72	6	0.166667	0.4	8	1.33333	2	6	6	8	3	0	0	0	2	2.4	-1.29099	15	16	13.6667	14.2857	10.4	-0.310087	9	9	9	21	21	2.5	2	1.33333	1	4	2.33333	1	2	1.33333	1	4	2.5	1	1	0.680556	0.25	1	0.625	0.25	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0
21	5.33333	2.95238	19.619	11.2381	112	62	412	236	154	0.5	0.0994152	42	2.1	9	16	9	22	5	7	0	2.73188	51.3333	153.067	-4.14915	55	146.667	72	81.9683	428.267	-4.4295	40	40	40	156	128	2.75	3	1.75	1	4	2.3	1	4	2	1	5	2.75	1	2	1	0.333333	1	0.690833	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5.9	3.25	24.7	12.05	118	65	494	241	131	0.473684	0.143791	54	2.84211	4	11	4	11	5	4	0	3.76569	43.6667	130.956	-3.81582	42	133	77.5	81.4167	388.733	-4.61547	37	37	39	168	148	2.21053	2	1.31579	1	3	1.78947	1	3	1.52632	1	4	2.21053	1	3	1.02632	0.333333	1	0.675439	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5.1	2.55	18.7	9.05	102	51	374	181	139	0.473684	0.0915033	66	3.47368	7	21	10	21	8	4	0	3.21554	46.3333	134.656	-3.99284	38	133	75.8333	78.95	358.867	-5.01484	33	33	33	161	143	2	2	1.21053	1	3	1.57895	1	3	1.47368	1	4	2	1	3	1.07895	0.333333	1	0.701754	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5	2.55	16.3	7.85	100	51	326	157	140	0.473684	0.0849673	50	2.63158	1	21	1	21	8	2	0	7.01421	46.6667	139.667	-3.94876	48	133	64.8333	79.7167	355.133	-4.51048	30	30	30	177	116	2.52632	3	1.57895	1	5	2.05263	1	3	1.84211	1	5	2.52632	1	3	1.10439	0.4	1	0.709649	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
