n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
29	5.7931	3.31034	24.069	14.6207	168	96	698	424	322	0.392857	0.0826211	66	2.35714	16	17	16	30	9	7	0	11.2593	107.333	445.333	-5.08618	82	280	117	142.483	1222.67	-5.66254	54	54	54	329	223	2.92857	2	1.46429	1	5	2.39286	1	4	1.82143	1	5	2.92857	1	3	0.965476	0.2	1	0.560714	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
19	4.63158	2.21053	13.2632	6	88	42	252	114	127	0.388889	0.0661765	67	3.72222	3	5	5	20	9	1	0	3.88965	42.3333	119.622	-3.87058	44	120	76.1667	73.9298	290.667	-4.45775	27	27	27	168	154	2.44444	3	1.72222	1	4	2.16667	1	3	1.83333	1	5	2.44444	1	2	0.921296	0.333333	1	0.750926	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
29	5.24138	2.62069	18.6897	9.03448	152	76	542	262	330	0.5	0.0598291	79	2.82143	12	18	18	30	9	7	0	8.26948	110	458.7	-5.13604	73	280	112.5	140.23	1156	-6.08824	50	50	50	344	216	2.60714	2	1.5	1	4	2.28571	1	3	1.64286	1	5	2.60714	1	2	0.83631	0.25	1	0.654167	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
26	5.15385	2.73077	18.3077	11.1154	134	71	476	289	258	0.52	0.0652174	69	2.76	15	17	3	27	9	7	0	9.07947	86	321.967	-4.79284	64	225	100.667	119.154	817.2	-5.63199	46	46	46	261	190	2.56	3	1.52	1	3	1.88	1	4	1.92	1	5	2.56	1	3	1.14667	0.333333	1	0.661333	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
10	4.6	2.3	15	6.3	46	23	150	63	22	0.333333	0.214286	19	2.11111	2	5	5	11	5	0	0	0.693182	7.33333	11.8222	-2.13281	15	33	23	26	36.6667	-2.9726	13	13	13	45	38	1.66667	1	1	1	3	1.66667	1	1	1	1	3	1.66667	1	1	0.740741	0.333333	1	0.740741	0.333333	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
12	4.66667	2.25	14.8333	5.91667	56	27	178	71	38	0.181818	0.155556	29	2.63636	0	13	3	13	6	0	0	2.60241	12.6667	24.6222	-2.55269	31	47.6667	30.3333	35.3889	67.3111	-2.03145	16	16	16	66	50	2.81818	2	1.72727	1	5	2.54545	1	2	1.81818	1	5	2.81818	1	2	0.854545	0.4	1	0.672727	0.4	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
9	4	2	10.4444	4.88889	36	18	94	44	18	0.25	0.142857	16	2	2	10	2	10	4	1	0	0.375	6	8.44444	-2.06474	15	26.6667	19.6667	20.5926	24.2222	-2.3705	12	12	12	33	33	1.875	2	1.25	1	3	1.5	1	2	1.375	1	4	1.875	1	2	1.02083	0.5	1	0.770833	0.5	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
29	4.96552	2.34483	15.7931	6.96552	144	68	458	202	334	0.5	0.048433	117	4.17857	15	30	15	30	12	7	0	6.42328	111.333	463.756	-5.16988	58	280	135.833	144.529	1122.67	-6.62564	48	48	48	321	272	2.07143	2	1.28571	1	3	1.67857	1	3	1.57143	1	4	2.07143	1	3	1.06548	0.333333	1	0.696429	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
18	6.33333	4.05556	31.5556	20.6111	114	73	568	371	96	0.411765	0.2	32	1.88235	3	19	3	7	6	1	0	4.49932	32	87.7	-3.41704	44	107.667	63.1667	73.2037	290.489	-3.73549	33	33	33	151	115	2.58824	3	1.52941	1	4	2.17647	1	4	1.76471	1	5	2.58824	1	2	0.911765	0.333333	1	0.65098	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
5	4	3.2	13.6	12.8	20	16	68	64	0	0	1	4	1	4	6	4	6	2	0	0	0	0	0	-nan	10	8	8	8	2.8	1.19523	6	6	6	10	10	2.5	1	1	1	4	2.5	1	1	1	1	4	2.5	1	1	0.520833	0.25	1	0.520833	0.25	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0
