n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
38	5.78947	3.07895	22.4737	10.9211	220	117	854	415	593	0.486486	0.0587302	104	2.81081	21	22	21	39	9	11	0	12.8566	197.667	1067.03	-6.05124	102	481	157.167	212.272	2807.13	-7.15332	73	73	73	548	294	2.75676	3	1.51351	1	4	1.91892	1	4	2.05405	1	6	2.75676	1	4	1.25676	0.333333	1	0.63018	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
17	5.29412	2.94118	19.1765	10.1176	90	50	326	172	91	0.375	0.133333	45	2.8125	5	18	5	18	6	1	0	2.5399	30.3333	78.6333	-3.42071	36	96	63.8333	62.7843	219.4	-4.05073	27	27	27	132	127	2.25	2	1.5625	1	4	2.0625	1	3	1.6875	1	4	2.25	1	2	0.916667	0.333333	1	0.75	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
37	5.72973	3.02703	22.0541	10.7027	212	112	816	396	560	0.388889	0.0588235	111	3.08333	20	38	8	38	10	9	0	14.8715	186.667	984.389	-5.94954	91	456	158.5	209.153	2571.33	-7.19803	69	69	69	532	303	2.52778	2	1.47222	1	4	2.27778	1	3	1.58333	1	5	2.52778	1	2	0.826389	0.25	1	0.647685	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
36	5.44444	2.80556	19.2778	9.47222	196	101	694	341	532	0.4	0.0516934	132	3.77143	19	37	19	37	12	5	0	16.1757	177.333	909.233	-5.88102	93	431.667	179.167	213.324	2296.47	-7.06712	61	61	61	575	370	2.65714	3	1.45714	1	5	2.08571	1	4	1.68571	1	7	2.65714	1	3	0.938571	0.333333	1	0.62415	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
13	5.38462	2.92308	22.6154	11.5385	70	38	294	150	43	0.333333	0.218182	29	2.41667	5	14	9	14	6	0	0	1.86395	14.3333	30.0111	-2.61641	22	56	35.8333	41.7949	93.8	-3.51057	20	20	20	78	60	1.83333	1	1	1	4	1.75	1	2	1.08333	1	4	1.83333	1	2	0.798611	0.25	1	0.673611	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
14	5	2.64286	17.7143	8.64286	70	37	248	121	56	0.153846	0.151515	30	2.30769	3	8	3	15	5	2	0	2.77005	18.6667	38.2556	-3.018	38	65	42.8333	44.2143	114.667	-2.52142	22	22	22	83	79	2.92308	3	1.46154	1	4	2	1	4	2	1	6	2.92308	1	3	1.14744	0.333333	1	0.589744	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
9	4.22222	2	12.4444	4.88889	38	18	112	44	17	0.375	0.190476	15	1.875	3	6	6	10	5	0	0	0.75	5.66667	8.41111	-1.95389	13	26.6667	17.5	21.4074	24.7778	-2.74556	11	11	11	36	26	1.625	1	1	1	3	1.5	1	2	1.125	1	3	1.625	1	2	0.916667	0.333333	1	0.729167	0.333333	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
48	5.54167	2.8125	19.8333	9.35417	266	135	952	449	995	0.446809	0.0386473	165	3.51064	26	49	8	49	12	16	0	15.2387	331.667	2224.96	-7.03139	132	767.667	235	305.417	5591.44	-8.50095	94	94	94	809	465	2.80851	3	1.91489	1	5	2.3617	1	4	2.14894	1	5	2.80851	1	3	1.0227	0.4	1	0.724823	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
24	5.66667	3.20833	22.1667	12.4583	136	77	532	299	208	0.347826	0.0995671	51	2.21739	3	15	15	25	7	5	0	5.84122	69.3333	239.356	-4.48147	59	191.667	88.6667	105.139	671.667	-5.119	44	44	44	237	166	2.56522	3	1.52174	1	4	2.04348	1	3	1.69565	1	5	2.56522	1	3	0.992754	0.333333	1	0.668841	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
10	4.4	2.5	13.2	8.1	44	25	132	81	23	0.333333	0.178571	15	1.66667	4	9	9	11	5	0	0	1.28788	7.66667	11.9222	-2.22038	24	33	22.6667	25.5333	35.9333	-1.50139	13	13	13	45	37	2.66667	2	1.33333	1	4	2.11111	1	3	1.66667	1	4	2.66667	1	3	1.08333	0.25	1	0.564815	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
21	5.14286	2.7619	17.619	9.80952	108	58	370	206	156	0.55	0.0877193	42	2.1	5	15	5	22	5	7	0	3.34346	52	156.311	-4.15919	57	146.667	68.3333	79.7778	419.956	-4.37552	39	39	39	149	118	2.85	3	1.75	1	4	2.15	1	4	2.05	1	5	2.85	1	2	1.06667	0.333333	1	0.670833	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
22	5.54545	2.86364	21	9.40909	122	63	462	207	170	0.428571	0.105263	66	3.14286	3	12	12	23	9	0	1	7.46749	56.6667	187.756	-4.06255	49	161	85.5	99.0758	506	-4.97901	35	35	35	231	167	2.33333	2	1.38095	1	4	2.09524	1	3	1.52381	1	4	2.33333	1	2	0.857143	0.333333	1	0.650794	0.333333	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
25	5.44	2.8	19.92	9.12	136	70	498	228	232	0.375	0.083004	68	2.83333	4	26	4	26	8	4	0	7.90468	77.3333	280.322	-4.61889	77	208	96.6667	113.787	745.333	-4.7984	43	43	43	271	188	3.20833	3	1.75	1	5	2.66667	1	4	1.95833	1	6	3.20833	1	2	0.814583	0.4	1	0.619444	0.4	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
27	5.18519	2.59259	17.4815	8.07407	140	70	472	218	281	0.461538	0.0633333	88	3.38462	14	15	1	28	11	4	0	10.9374	93.6667	370.467	-4.86643	71	242.667	104	131.21	921.511	-5.65504	44	44	44	309	193	2.73077	3	1.57692	1	5	2.19231	1	3	1.88462	1	6	2.73077	1	3	1.05064	0.333333	1	0.666026	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
20	5	2.35	16.6	6.65	100	47	332	133	140	0.368421	0.0849673	51	2.68421	4	8	8	21	7	5	0	5.2295	46.6667	135.8	-4.00458	41	133	63	76.1667	355.133	-4.88194	34	34	34	157	112	2.15789	2	1.31579	1	3	1.78947	1	2	1.47368	1	4	2.15789	1	2	0.973684	0.333333	1	0.675439	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
16	5.25	2.8125	20.625	10.6875	84	45	330	171	78	0.266667	0.142857	31	2.06667	2	10	10	17	5	3	0	3.13859	26	61	-3.32896	36	85	46.3333	55.125	180.2	-3.65022	27	27	27	103	79	2.4	2	1.33333	1	4	2	1	2	1.46667	1	4	2.4	1	2	0.905556	0.25	1	0.638889	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
11	5.09091	3.09091	18.1818	10.7273	56	34	200	118	27	0.4	0.25	19	1.9	6	12	6	12	4	0	0	1.45346	9	16.1	-2.243	18	40	30.5	31.2727	52.8	-3.02765	16	16	16	55	55	1.8	1	1	1	3	1.7	1	2	1.1	1	3	1.8	1	2	0.816667	0.333333	1	0.666667	0.333333	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
43	5.86047	3.25581	24.1395	14.3721	252	140	1038	618	777	0.428571	0.052439	123	2.92857	10	44	10	44	10	16	0	17.3597	259	1565.82	-6.54528	135	616	216.167	255.938	4127.2	-7.48716	88	88	88	619	439	3.21429	4	2	1	5	2.61905	1	5	2.45238	1	6	3.21429	1	4	1.08333	0.333333	1	0.66627	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
14	5.14286	3.07143	18.5714	12.0714	72	43	260	169	55	0.461538	0.166667	22	1.69231	5	11	5	15	5	2	0	2.19836	18.3333	38.2667	-2.96368	27	65	38.8333	45.0238	116.333	-3.52315	23	23	23	85	65	2.07692	2	1.15385	1	3	1.69231	1	3	1.46154	1	3	2.07692	1	3	1.08974	0.333333	1	0.628205	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
26	5.38462	2.65385	19.4615	8.34615	140	69	506	217	255	0.4	0.076087	126	5.04	9	11	14	27	9	3	0	7.1404	85	318.8	-4.76058	48	225	144.833	124.859	837	-6.11801	43	43	43	308	308	1.92	2	1.16	1	3	1.76	1	2	1.24	1	3	1.92	1	2	0.84	0.333333	1	0.693333	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
17	4.58824	2	13.1765	4.47059	78	34	224	76	97	0.375	0.0761905	55	3.4375	7	18	11	18	8	2	0	3.30064	32.3333	83.0667	-3.54762	27	96	54.8333	59.4902	203.8	-4.83334	25	25	25	126	100	1.6875	2	1.125	1	3	1.625	1	2	1.1875	1	3	1.6875	1	2	0.84375	0.333333	1	0.75	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
18	5.44444	3.16667	20.2222	11.9444	98	57	364	215	104	0.294118	0.133333	50	2.94118	9	12	9	19	7	0	0	6.66434	34.6667	96	-3.53815	34	107.667	74.5	70.9074	266.844	-4.50964	28	28	28	153	153	2	1	1	1	4	2	1	1	1	1	4	2	1	1	0.622549	0.25	1	0.622549	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
29	5.17241	2.48276	17.2414	7.17241	150	72	500	208	331	0.571429	0.0569801	91	3.25	5	16	5	30	9	9	0	8.22457	110.333	462.8	-5.12873	87	280	110.167	135.724	1147.67	-5.69704	53	53	53	313	205	3.10714	3	2.10714	1	5	2.46429	1	4	2.57143	1	5	3.10714	1	3	1.17024	0.5	1	0.719048	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
