n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
30	5.93333	3.36667	25.7333	14.7667	178	101	772	443	346	0.275862	0.0846561	69	2.37931	19	31	19	31	8	8	0	16.4977	115.333	500.7	-5.15426	91	299.667	118.333	151.044	1376.4	-5.62446	58	58	58	362	219	3.13793	2	1.48276	1	5	2.51724	1	4	1.75862	1	6	3.13793	1	3	0.911494	0.2	1	0.54023	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
16	5.125	2.8125	18	9.5625	82	45	288	153	79	0.4	0.131868	38	2.53333	1	17	3	17	6	2	0	2.50822	26.3333	63.2667	-3.31069	38	85	54.1667	55.9792	177.933	-3.52346	26	26	26	114	103	2.53333	3	1.66667	1	4	2.06667	1	4	1.93333	1	5	2.53333	1	2	1.01667	0.333333	1	0.712222	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
30	6	3.36667	26.1333	14.1667	180	101	784	425	345	0.275862	0.0873016	74	2.55172	12	31	12	31	8	6	0	15.8327	115	500.289	-5.14147	88	299.667	120.167	156.278	1385.36	-5.68685	57	57	57	387	225	3.03448	2	1.55172	1	5	2.65517	1	3	1.65517	1	6	3.03448	1	2	0.772989	0.2	1	0.583333	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
30	5.26667	2.7	17.7333	8.76667	158	81	532	263	356	0.413793	0.0582011	91	3.13793	19	31	2	31	10	6	0	9.82497	118.667	510.678	-5.25116	72	299.667	125	154.778	1286.84	-6.34653	52	52	52	397	243	2.48276	3	1.41379	1	4	2	1	4	1.75862	1	5	2.48276	1	3	1.00862	0.333333	1	0.643103	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
8	4.25	2.125	13	5.375	34	17	104	43	11	0.142857	0.266667	12	1.71429	3	9	3	7	4	0	0	1.52597	3.66667	5.15556	-1.61486	14	21	14.5	17.7917	16.6	-1.71808	10	10	10	28	20	2	1	1	1	4	2	1	1	1	1	4	2	1	1	0.654762	0.25	1	0.654762	0.25	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
12	5	2.91667	17.3333	9.91667	60	35	208	119	36	0.181818	0.2	21	1.90909	2	11	2	13	5	0	0	3.8719	12	22.6	-2.52422	30	47.6667	33	35.6667	69.6222	-2.11729	17	17	17	66	59	2.72727	2	1.36364	1	4	2.27273	1	2	1.45455	1	5	2.72727	1	2	0.795455	0.25	1	0.574242	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
9	4.22222	2.22222	12.4444	6.22222	38	20	112	56	17	0.375	0.190476	14	1.75	1	6	6	10	5	0	0	0.75	5.66667	7.94444	-2.01046	15	26.6667	19	21.2593	24.7778	-2.34377	11	11	11	36	31	1.875	2	1.125	1	3	1.625	1	2	1.25	1	3	1.875	1	2	0.916667	0.333333	1	0.6875	0.333333	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
28	5.28571	2.75	18.6429	9.75	148	77	522	273	304	0.444444	0.0646154	85	3.14815	14	29	12	14	8	8	0	6.80035	101.333	407.256	-5.02133	67	261	119.333	133.262	1042.07	-6.00972	50	50	50	296	233	2.48148	2	1.37037	1	3	1.66667	1	4	2	1	4	2.48148	1	4	1.37037	0.333333	1	0.626543	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
15	5.86667	3.6	25.4667	14.9333	88	54	382	224	61	0.428571	0.217949	31	2.21429	7	10	7	16	5	0	0	3.03919	20.3333	47.5222	-2.94958	27	74.6667	53.8333	53.6444	155.733	-3.81965	25	25	25	105	105	1.92857	1	1	1	4	1.78571	1	2	1.14286	1	4	1.92857	1	2	0.85119	0.25	1	0.636905	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
5	4	3.2	13.6	12.8	20	16	68	64	0	0	1	4	1	4	6	4	6	2	0	0	0	0	0	-nan	10	8	8	8	2.8	1.19523	6	6	6	10	10	2.5	1	1	1	4	2.5	1	1	1	1	4	2.5	1	1	0.520833	0.25	1	0.520833	0.25	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0
