n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
39	6.05128	3.33333	26.5641	14.2051	236	130	1036	554	623	0.578947	0.0645646	113	2.97368	24	40	24	40	10	12	0	14.9019	207.667	1143.04	-6.14236	109	506.667	189.167	226.222	3119.11	-7.12039	78	78	78	562	385	2.86842	3	1.57895	1	5	2.21053	1	4	1.97368	1	5	2.86842	1	2	1.03377	0.2	1	0.609649	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
15	4.8	2.66667	15.8667	10.1333	72	40	238	152	69	0.5	0.115385	35	2.5	1	3	1	16	7	1	0	2.20611	23	52.6111	-3.17095	32	74.6667	49.1667	50.3556	140.089	-3.60485	22	22	22	103	94	2.28571	3	1.57143	1	3	1.85714	1	3	1.78571	1	4	2.28571	1	2	1.07143	0.333333	1	0.732143	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
40	5.65	2.925	22.2	11.025	226	117	888	441	667	0.615385	0.0512091	125	3.20513	24	25	24	41	11	12	0	15.4802	222.333	1255.69	-6.27428	108	533	183.667	234.717	3239	-7.46764	76	76	76	579	363	2.76923	3	1.53846	1	5	2	1	4	1.97436	1	5	2.76923	1	4	1.18248	0.2	1	0.62906	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
33	5.75758	3.0303	24.1212	12.2424	190	100	796	404	433	0.625	0.0688172	111	3.46875	0	19	4	34	11	6	0	10.2188	144.333	693.133	-5.48224	87	362.667	142.167	185.556	1814.47	-6.47157	59	59	59	475	270	2.71875	3	1.6875	1	5	2.0625	1	5	2.1875	1	6	2.71875	1	3	1.19323	0.5	1	0.685937	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
14	4.71429	2.35714	15.5714	7.35714	66	33	218	103	58	0.615385	0.121212	33	2.53846	5	6	6	8	7	1	0	2.29268	19.3333	42.3556	-2.97065	25	65	38.3333	45.1905	111.333	-3.79094	20	20	20	89	65	1.92308	2	1.23077	1	2	1.46154	1	3	1.61538	1	3	1.92308	1	3	1.23077	0.5	1	0.705128	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
18	5.22222	2.94444	18.5556	10.9444	94	53	334	197	106	0.294118	0.116667	40	2.35294	0	19	0	19	6	4	1	8.92105	35.3333	97.1222	-3.48383	55	107.667	60.1667	65.7963	260.933	-3.2604	31	31	31	130	111	3.23529	3	1.70588	1	5	2.58824	1	3	2.05882	1	6	3.23529	1	3	1.00392	0.25	1	0.605882	0.25	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0
10	4.4	2.3	13.2	6.3	44	23	132	63	23	0.444444	0.178571	18	2	1	4	4	11	5	0	0	2.04857	7.66667	12.2667	-2.18899	19	33	23.1667	25.6333	35.9333	-2.3355	13	13	13	45	39	2.11111	2	1.11111	1	4	1.77778	1	2	1.33333	1	4	2.11111	1	2	1.00926	0.25	1	0.638889	0.25	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
36	5.16667	2.47222	17.7778	8.13889	186	89	640	293	537	0.771429	0.0427807	119	3.4	13	19	13	19	9	15	0	7.23137	179	904.556	-5.95162	82	431.667	159	186.944	2230.69	-7.40346	68	68	68	406	308	2.34286	3	1.45714	1	3	1.62857	1	5	2.11429	1	5	2.34286	1	5	1.4619	0.5	1	0.71	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
24	5.16667	2.54167	17.6667	7.70833	124	61	424	185	214	0.608696	0.0735931	77	3.34783	8	25	8	25	8	6	0	2.8283	71.3333	245.333	-4.55422	46	191.667	101.667	101.778	638.333	-5.76549	41	41	41	224	204	2	2	1.30435	1	3	1.6087	1	3	1.65217	1	3	2	1	3	1.14493	0.333333	1	0.710145	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
10	4.8	3.1	17.4	13.5	48	31	174	135	21	0.777778	0.25	16	1.77778	0	2	0	6	5	0	0	0.693182	7	11.5556	-2.05922	18	33	25.8333	26.4333	37.4	-2.45276	14	14	14	45	45	2	2	1.22222	1	2	1.33333	1	3	1.88889	1	3	2	1	3	1.61111	0.5	1	0.685185	0.333333	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
