n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
27	4.74074	2.07407	13.7037	4.96296	128	56	370	134	287	0.153846	0.0433333	79	3.03846	25	28	25	28	10	8	0	4.73243	95.6667	372.022	-4.95994	81	242.667	90.5	118.198	878.578	-5.45419	45	46	46	285	161	3.11538	4	1.92308	1	5	2.92308	1	4	2.11538	1	5	3.11538	1	2	0.8	0.333333	1	0.667949	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
16	4.625	2.3125	13.875	6.9375	74	37	222	111	83	0.333333	0.0879121	37	2.46667	8	9	9	17	7	2	0	1.51521	27.6667	65.4667	-3.41937	36	85	50	54	168.867	-3.77072	23	23	23	109	94	2.4	3	1.73333	1	3	2.06667	1	3	1.93333	1	4	2.4	1	1.5	0.977778	0.333333	1	0.777778	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
26	4.61538	1.96154	13	4.65385	120	51	338	121	265	0.16	0.0398551	70	2.8	24	25	25	27	9	8	0	5.20182	88.3333	331.256	-4.85337	81	225	80.5	109.269	771	-5.18603	42	42	42	244	136	3.24	3	2.04	1	6	3.08	1	3	2.12	1	6	3.24	1	1.5	0.774667	0.333333	1	0.698	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
17	4.35294	1.76471	11.7647	3.76471	74	30	200	64	99	0.1875	0.0571429	50	3.125	6	18	10	18	10	2	0	4.44121	33	84.7556	-3.58451	41	96	45.3333	60	198.6	-3.90277	23	23	23	126	72	2.5625	3	1.5625	1	5	2.125	1	3	1.6875	1	6	2.5625	1	2	0.967708	0.4	1	0.729167	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
7	4	2	12	5.14286	28	14	84	36	7	0	0.3	10	1.66667	6	8	5	8	4	0	0	0.833333	2.33333	2.78889	-1.39721	13	16	12	14	10.1333	-0.942421	8	8	8	21	17	2.16667	2	1.5	1	4	2.16667	1	2	1.5	1	4	2.16667	1	1	0.777778	0.5	1	0.777778	0.5	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
6	3	1.16667	5.66667	1.83333	18	7	34	11	6	0.2	0	11	2.2	0	3	0	3	5	0	0	0.75	2	2	-1.41421	9	11.6667	9.66667	10	5.28889	-1.15954	5	5	5	15	15	1.8	2	1.2	1	2	1.4	1	2	1.4	1	3	1.8	1	2	1.1	0.5	1	0.733333	0.5	0	0	0	1	1	0	0	0	0	0	1	1	1	1	0
7	4	2.57143	12	9.42857	28	18	84	66	7	0.166667	0.3	8	1.33333	5	8	5	8	4	0	0	0	2.33333	2.56667	-1.45644	10	16	13	13.9048	10.1333	-1.88484	8	8	8	21	19	1.66667	2	1.16667	1	3	1.66667	1	2	1.16667	1	3	1.66667	1	1	0.805556	0.333333	1	0.805556	0.333333	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
27	5.40741	2.88889	19.4815	10.2963	146	78	526	278	278	0.461538	0.0733333	82	3.15385	20	22	20	28	7	8	0	11.6539	92.6667	361.989	-4.87053	132	242.667	114	124.42	942.978	-3.60384	51	51	51	261	218	5.07692	3	2.07692	1	6	3.92308	1	8	3.11538	1	10	5.07692	1	1.6	0.784615	0.2	1	0.474542	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
13	4.92308	2.92308	17.0769	11.5385	64	38	222	150	46	0.416667	0.163636	25	2.08333	8	14	8	14	6	0	1	3.88989	15.3333	31.2444	-2.56425	37	56	38.5	40.5128	89.6	-2.00724	19	19	19	78	71	3.08333	2	1.58333	1	4	2.58333	1	4	1.91667	1	5	3.08333	1	1.33333	0.798611	0.25	1	0.615278	0.25	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
7	4	2.57143	12	9.42857	28	18	84	66	7	0.333333	0.3	8	1.33333	5	8	5	8	4	0	0	0	2.33333	2.56667	-1.45644	11	16	13	13.9048	10.1333	-1.5707	8	8	8	21	19	1.83333	2	1.16667	1	3	1.66667	1	2	1.33333	1	3	1.83333	1	2	0.972222	0.333333	1	0.722222	0.333333	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0
