n	second_moment_degree	second_moment_degree_out	third_moment_degree	third_moment_degree_out	sum_squared_degrees	sum_squared_out_degrees	sum_cubed_degrees	sum_cubed_out_degrees	num_pairs_independent_edges	head_initial	hubiness	sum_hierarchical_distance	mean_hierarchical_distance	tree_centre1	tree_centre2	tree_centroid1	tree_centroid2	tree_diameter	caterpillar_distance	num_crossings	predicted_num_crossings	exp_num_crossings	var_num_crossings	z_score_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	exp_sum_edge_lengths_projective	exp_sum_edge_lengths_planar	var_sum_edge_lengths	z_score_sum_edge_lengths	min_sum_edge_lengths	min_sum_edge_lengths_planar	min_sum_edge_lengths_projective	max_sum_edge_lengths_planar	max_sum_edge_lengths_projective	mean_dependency_distance	flux_max_weight	flux_mean_weight	flux_min_weight	flux_max_left_span	flux_mean_left_span	flux_min_left_span	flux_max_right_span	flux_mean_right_span	flux_min_right_span	flux_max_size	flux_mean_size	flux_min_size	flux_max_RL_ratio	flux_mean_RL_ratio	flux_min_RL_ratio	flux_max_WS_ratio	flux_mean_WS_ratio	flux_min_WS_ratio	empty	singleton	bistar	caterpillar	linear	quasistar	spider	two_linear	star	unknown	EC1	planar	projective	WG1	unknown_syntactic_dependency_structure
30	5.8	3.16667	22.3333	10.9667	174	95	670	329	348	0.310345	0.0793651	72	2.48276	7	17	17	31	7	10	0	19.4385	116	509.511	-5.13903	85	299.667	109.833	146.589	1358.49	-5.8242	59	59	59	322	193	2.93103	2	1.62069	1	5	2.31034	1	3	1.75862	1	6	2.93103	1	2	0.904598	0.333333	1	0.621839	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
16	4.875	2.6875	16.125	9.9375	78	43	258	159	81	0.2	0.10989	40	2.66667	1	3	1	3	7	1	0	3.98896	27	65.8889	-3.32627	43	85	55.1667	55.9375	173.4	-3.18952	24	24	24	117	107	2.86667	3	1.6	1	5	2.73333	1	3	1.66667	1	5	2.86667	1	2	0.767778	0.2	1	0.645556	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
31	6	3.35484	25.9355	13.9355	186	104	804	432	372	0.266667	0.0837438	78	2.6	14	32	20	32	8	7	0	15.1805	124	558.744	-5.24584	89	320	126.333	163.333	1532.8	-5.90023	60	60	60	403	239	2.96667	2	1.53333	1	5	2.76667	1	2	1.56667	1	6	2.96667	1	2	0.675556	0.2	1	0.592222	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
35	5.42857	2.8	19.0857	9.37143	190	98	668	328	500	0.352941	0.0530303	112	3.29412	21	23	2	36	11	8	0	16.3998	166.667	832.756	-5.77551	101	408	153.333	196.229	2102.8	-6.69483	64	64	64	522	297	2.97059	3	1.61765	1	5	2.32353	1	4	1.91176	1	7	2.97059	1	3	0.934314	0.25	1	0.616527	0.25	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
11	4.90909	2.72727	17.6364	9.09091	54	30	194	100	28	0.2	0.222222	18	1.8	4	10	10	12	5	0	0	2.03121	9.33333	16.2667	-2.31413	25	40	26.3333	30.8485	51.8667	-2.0828	16	16	16	55	43	2.5	2	1.1	1	5	2.4	1	2	1.1	1	5	2.5	1	1	0.595	0.2	1	0.578333	0.2	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0
14	5.71429	3.5	23.7143	13.7857	80	49	332	193	51	0.0769231	0.227273	26	2	3	13	3	15	5	0	1	7.54731	17	37.6667	-2.607	39	65	44.5	47.6905	123	-2.34434	23	23	23	91	82	3	2	1.46154	1	5	2.61538	1	2	1.53846	1	6	3	1	2	0.742308	0.25	1	0.575641	0.25	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0
7	3.71429	2	9.42857	5.14286	26	14	66	36	8	0.666667	0.2	9	1.5	0	8	0	8	4	0	0	0	2.66667	3	-1.5396	12	16	12.1667	13.619	9.86667	-1.27343	8	8	8	21	18	2	2	1.16667	1	2	1.33333	1	3	1.66667	1	3	2	1	3	1.41667	0.5	1	0.666667	0.333333	0	0	0	1	0	0	0	1	0	0	1	1	1	1	0
32	5.1875	2.59375	17.5	8.65625	166	83	560	277	413	0.322581	0.0505747	101	3.25806	15	16	15	16	9	12	0	12.488	137.667	623.311	-5.51412	85	341	130.333	156.688	1556.87	-6.48805	62	62	62	336	238	2.74194	3	1.58065	1	4	2.03226	1	4	2	1	5	2.74194	1	3	1.11828	0.333333	1	0.644624	0.333333	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
18	5.88889	3.5	27.5556	16.6111	106	63	496	299	100	0.235294	0.166667	38	2.23529	10	19	10	19	6	3	0	4.46265	33.3333	88.9667	-3.53399	43	107.667	65.8333	69.7222	278.667	-3.87381	33	33	33	138	125	2.52941	2	1.29412	1	5	2.29412	1	2	1.35294	1	5	2.52941	1	2	0.742157	0.2	1	0.614706	0.2	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
7	4.28571	2.85714	13.7143	10.2857	30	20	96	72	6	0	0.4	8	1.33333	3	6	6	8	3	0	0	0.571429	2	2.4	-1.29099	15	16	13.6667	14.2857	10.4	-0.310087	9	9	9	21	21	2.5	2	1.33333	1	4	2.5	1	2	1.33333	1	4	2.5	1	1	0.625	0.25	1	0.625	0.25	0	0	1	1	0	0	0	1	0	0	1	1	1	1	0
