,,,accuracy,precision,recall,fscore
English-all,no_balanced,LOGISTIC REGRESION,0.9824032499465469,0.8192437902620924,0.8706401869385498,0.8388637576660777
English-all,no_balanced,DECISION TREE,0.9757750694889886,0.8723575698236543,0.646505173487735,0.7235621970240323
English-all,no_balanced,KNN 3,0.9856318152661963,0.8463731619393275,0.8976876258832259,0.8691698848339326
English-all,no_balanced,KNN 5,0.9856531964934788,0.8249005795633542,0.9250378536317297,0.8696660863396876
English-all,no_balanced,KNN 7,0.986572589266624,0.8500621587136596,0.915486577319162,0.8799921701739575
English-all,no_balanced,KNN 9,0.9830660679923028,0.800902276290689,0.919200701394425,0.8529658161160321
English-all,no_balanced,MOST FREQUEST CLASS,0.948129142612786,0.0,0.0,0.0
English-all,no_balanced,RANDOM CLASS,0.4987812700449005,0.053057984580454874,0.497437050711084,0.095839793219835
English-all,balanced,LOGISTIC REGRESION,0.9730916892502257,0.9672562865269614,0.9794006523771598,0.9732667660777328
English-all,balanced,DECISION TREE,0.9710027100271003,0.992091296376629,0.9496733064432569,0.9703577139507452
English-all,balanced,KNN 3,0.9919150858175246,0.986787763567826,0.9971941870712951,0.9919533275974597
English-all,balanced,KNN 5,0.9903342366757002,0.982146048234612,0.998938529006903,0.9904656674192435
English-all,balanced,KNN 7,0.9893405600722674,0.9795261755330342,0.9994830215083118,0.9894011067788513
English-all,balanced,KNN 9,0.9883242999096659,0.9772660333580871,0.9998652896273013,0.9884356573361697
English-all,balanced,MOST FREQUEST CLASS,0.4967818428184282,0.19814814814814813,0.4,0.2650149837676328
English-all,balanced,RANDOM CLASS,0.5001016260162601,0.49938627675526687,0.4990722832054132,0.49921700176469963
